FEOW_ID,PRV_WSHD_I,NHN_TWS_ID
107,AB-02010101,NA
107,AB-02010102,NA
107,AB-02010103,NA
142,AB-02020101,NA
142,AB-02020102,NA
142,AB-02020103,NA
142,AB-02020104,NA
142,AB-02020201,NA
142,AB-02020202,NA
142,AB-02020203,NA
107,AB-04010101,NA
107,AB-04010102,NA
107,AB-04010103,NA
107,AB-04010104,NA
107,AB-04010105,NA
107,AB-04010201,NA
107,AB-04010301,NA
107,AB-04010302,NA
107,AB-04010303,NA
107,AB-04010401,NA
107,AB-04010402,NA
107,AB-04010501,NA
107,AB-04010502,NA
107,AB-04010503,NA
107,AB-04010504,NA
107,AB-04010505,NA
107,AB-04010601,NA
107,AB-04010602,NA
107,AB-04020101,NA
107,AB-04020201,NA
107,AB-04020301,NA
107,AB-04020401,NA
107,AB-04020501,NA
107,AB-04020601,NA
107,AB-04020701,NA
107,AB-04020801,NA
107,AB-04020802,NA
107,AB-04020803,NA
107,AB-04020901,NA
107,AB-04020902,NA
107,AB-04020903,NA
107,AB-04021001,NA
107,AB-04021101,NA
107,AB-04021102,NA
107,AB-04021201,NA
107,AB-04021202,NA
107,AB-04021301,NA
107,AB-04021302,NA
107,AB-04030101,NA
107,AB-04030201,NA
107,AB-04030202,NA
107,AB-04030301,NA
107,AB-04030401,NA
108,AB-04030501,NA
108,AB-04030601,NA
108,AB-07010101,NA
108,AB-07010102,NA
108,AB-07010103,NA
108,AB-07010104,NA
108,AB-07010105,NA
108,AB-07010106,NA
108,AB-07010107,NA
108,AB-07010108,NA
108,AB-07010109,NA
107,AB-08010101,NA
107,AB-08010102,NA
107,AB-08010103,NA
107,AB-08010104,NA
107,AB-08010201,NA
107,AB-08010202,NA
107,AB-08010203,NA
107,AB-08010301,NA
107,AB-08010302,NA
107,AB-08010303,NA
107,AB-08020101,NA
107,AB-08020102,NA
107,AB-08020103,NA
107,AB-08020201,NA
107,AB-08020202,NA
107,AB-08020203,NA
107,AB-08020204,NA
107,AB-08020205,NA
107,AB-08020206,NA
107,AB-08030101,NA
107,AB-08030102,NA
107,AB-08030201,NA
107,AB-08030202,NA
107,AB-08030203,NA
107,AB-08030301,NA
107,AB-08030302,NA
107,AB-08030303,NA
107,AB-08030401,NA
107,AB-08030402,NA
107,AB-08030403,NA
107,AB-08030404,NA
107,AB-08040101,NA
107,AB-09010101,NA
107,AB-09010102,NA
107,AB-09010103,NA
107,AB-09010104,NA
107,AB-09010105,NA
107,AB-09020101,NA
107,AB-09020102,NA
107,AB-09020201,NA
107,AB-09020202,NA
107,AB-09030101,NA
107,AB-09030102,NA
107,AB-09030103,NA
107,AB-09030104,NA
107,AB-09030201,NA
107,AB-09030202,NA
107,AB-11010101,NA
107,AB-11010102,NA
107,AB-11010103,NA
107,AB-11010201,NA
107,AB-11010202,NA
107,AB-11010203,NA
107,AB-11010301,NA
107,AB-11010302,NA
107,AB-11010401,NA
107,AB-11010402,NA
107,AB-11010403,NA
107,AB-11010404,NA
107,AB-11010405,NA
107,AB-11010406,NA
107,AB-11020101,NA
107,AB-11020102,NA
107,AB-11020103,NA
107,AB-11020104,NA
107,AB-11020201,NA
107,AB-11020202,NA
107,AB-11020203,NA
107,AB-11020301,NA
107,AB-11020302,NA
107,AB-11030101,NA
107,AB-11030102,NA
107,AB-11030201,NA
107,AB-11030202,NA
107,AB-11030203,NA
107,AB-11030204,NA
107,AB-11030205,NA
107,AB-11040101,NA
107,AB-11040102,NA
107,AB-11040103,NA
107,AB-11040104,NA
107,AB-11040201,NA
107,AB-11040202,NA
107,AB-11040203,NA
107,AB-11040204,NA
107,AB-11040301,NA
107,AB-11040302,NA
108,AB-12010101,NA
108,AB-12010102,NA
108,AB-12010201,NA
108,AB-12010202,NA
108,AB-12010203,NA
108,AB-12020101,NA
108,AB-12020102,NA
108,AB-12020103,NA
108,AB-12020104,NA
108,AB-12020105,NA
108,AB-12020201,NA
108,AB-12020301,NA
108,AB-12020302,NA
108,AB-13010101,NA
108,AB-15010101,NA
105,AB-16010101,NA
104,AB-17010101,NA
104,AB-17010102,NA
104,AB-17010103,NA
104,AB-17010104,NA
104,AB-17010105,NA
104,AB-17010106,NA
104,AB-17010107,NA
104,AB-17010201,NA
104,AB-17010301,NA
104,AB-17010302,NA
104,AB-17010401,NA
104,AB-17010501,NA
104,AB-17010601,NA
104,AB-17010602,NA
104,AB-17010603,NA
104,AB-17010701,NA
104,AB-17010702,NA
104,AB-17010703,NA
104,AB-17020101,NA
104,AB-17020102,NA
104,AB-17020201,NA
104,AB-17020202,NA
104,AB-17020203,NA
104,AB-17020204,NA
104,AB-17030101,NA
104,AB-17030102,NA
104,AB-17030201,NA
104,AB-17030202,NA
104,AB-17030203,NA
104,AB-17030301,NA
104,AB-17030302,NA
104,AB-17030303,NA
104,AB-17030304,NA
104,AB-17040101,NA
104,AB-17040102,NA
104,AB-17040103,NA
104,AB-17040201,NA
104,AB-17040202,NA
104,AB-17040203,NA
104,AB-17040301,NA
104,AB-17040302,NA
104,AB-17040303,NA
104,AB-17040304,NA
104,AB-17050101,NA
104,AB-17050102,NA
104,AB-17050201,NA
104,AB-17050202,NA
104,AB-17050203,NA
104,AB-17050204,NA
104,AB-17050205,NA
104,AB-17050301,NA
104,AB-17050302,NA
104,AB-17050303,NA
104,AB-17050304,NA
104,AB-17050401,NA
104,AB-17050402,NA
104,AB-17050403,NA
104,AB-17060101,NA
104,AB-17060102,NA
104,AB-17060103,NA
104,AB-17060104,NA
104,AB-17060105,NA
104,AB-17060106,NA
104,AB-17060107,NA
104,AB-17060201,NA
104,AB-17060202,NA
104,AB-17060203,NA
104,AB-17070101,NA
104,AB-17070102,NA
104,AB-17070103,NA
104,AB-17070104,NA
104,AB-17070105,NA
104,AB-17070201,NA
104,AB-17070202,NA
104,AB-17070203,NA
104,AB-17070301,NA
104,AB-17070302,NA
104,AB-17070401,NA
104,AB-17070402,NA
104,AB-17070403,NA
104,AB-18010101,NA
104,AB-18010201,NA
104,AB-18010202,NA
104,AB-18010203,NA
104,AB-18010204,NA
104,AB-18010205,NA
104,AB-18010206,NA
104,AB-18010207,NA
104,AB-18010208,NA
104,AB-18010209,NA
104,AB-18010210,NA
104,AB-18010211,NA
104,AB-18010301,NA
104,AB-18010302,NA
104,AB-18010303,NA
104,AB-18010401,NA
104,AB-18010402,NA
104,AB-18010403,NA
104,AB-18010404,NA
104,AB-18020101,NA
104,AB-18020102,NA
104,AB-18020103,NA
104,AB-18020104,NA
104,AB-18020105,NA
104,AB-18020201,NA
104,AB-18020202,NA
104,AB-18020203,NA
104,AB-18020301,NA
104,AB-18020302,NA
104,AB-18020303,NA
104,AB-18020304,NA
104,AB-18020401,NA
104,AB-18020402,NA
104,AB-18020501,NA
104,AB-18020502,NA
104,AB-18020503,NA
104,AB-18020601,NA
104,AB-18020602,NA
104,AB-18020603,NA
104,AB-18020604,NA
104,AB-18020701,NA
104,AB-18020702,NA
104,AB-18020703,NA
104,AB-18020704,NA
104,AB-18020801,NA
104,AB-18020802,NA
104,AB-18020803,NA
104,AB-18020901,NA
104,AB-18020902,NA
104,AB-18020903,NA
104,AB-18020904,NA
104,AB-18020905,NA
104,AB-18030101,NA
104,AB-18030102,NA
104,AB-18030103,NA
104,AB-18030104,NA
104,AB-18030201,NA
104,AB-18030301,NA
104,AB-18030302,NA
104,AB-18030303,NA
104,AB-18030304,NA
104,AB-18030401,NA
104,AB-18030402,NA
104,AB-18040101,NA
104,AB-18040102,NA
104,AB-18040103,NA
104,AB-18040104,NA
104,AB-18040105,NA
104,AB-18040106,NA
104,AB-18040107,NA
104,AB-18040108,NA
104,AB-18040201,NA
104,AB-18040202,NA
104,AB-18040203,NA
104,AB-18040301,NA
104,AB-18040302,NA
104,AB-18040303,NA
104,AB-18040304,NA
104,AB-18050101,NA
104,AB-18050102,NA
104,AB-18050103,NA
104,AB-18050104,NA
104,AB-18050105,NA
104,AB-18050106,NA
104,AB-18050107,NA
104,AB-18050201,NA
104,AB-18050202,NA
104,AB-18050203,NA
104,AB-18050204,NA
104,AB-18050205,NA
104,AB-18050206,NA
104,AB-18050301,NA
104,AB-18050302,NA
104,AB-18050303,NA
104,AB-18050304,NA
104,AB-18050401,NA
104,AB-18050402,NA
104,AB-18050403,NA
104,AB-18050404,NA
104,AB-18050405,NA
104,AB-18060101,NA
104,AB-18060102,NA
104,AB-18060201,NA
104,AB-18060202,NA
104,AB-18060203,NA
104,AB-18060301,NA
104,AB-18060302,NA
104,AB-18060303,NA
104,AB-18060401,NA
104,AB-18060402,NA
104,AB-18060403,NA
104,AB-18060501,NA
104,AB-18060502,NA
104,AB-18060503,NA
104,AB-18060504,NA
104,AB-19010101,NA
104,AB-19010102,NA
104,AB-19010103,NA
104,AB-19010104,NA
104,AB-19010105,NA
104,AB-19010106,NA
104,AB-19010107,NA
104,AB-19010108,NA
104,AB-19010109,NA
104,AB-19010201,NA
104,AB-19010202,NA
104,AB-19010203,NA
104,AB-19010204,NA
104,AB-19010205,NA
104,AB-19010206,NA
104,AB-19010207,NA
104,AB-19010208,NA
104,AB-19010301,NA
104,AB-19010302,NA
104,AB-19010303,NA
104,AB-19010304,NA
104,AB-19010305,NA
104,AB-19010306,NA
104,AB-19010307,NA
104,AB-19010308,NA
104,AB-19010309,NA
104,AB-19010310,NA
104,AB-19010311,NA
105,AB-20010101,NA
105,AB-20010102,NA
105,AB-20010103,NA
105,AB-20010104,NA
104,AB-21010101,NA
104,AB-21010102,NA
104,AB-21010103,NA
104,AB-21010201,NA
104,AB-21010202,NA
105,AB-22010101,NA
104,AB-23010101,NA
104,AB-23010102,NA
104,AB-23010103,NA
104,AB-23010104,NA
104,AB-23010105,NA
104,AB-23010106,NA
104,AB-23010107,NA
104,AB-23010108,NA
104,AB-23010201,NA
104,AB-23010301,NA
104,AB-23010302,NA
104,AB-24010101,NA
104,AB-24010102,NA
104,AB-24010103,NA
104,AB-24010104,NA
104,AB-24010105,NA
104,AB-24010201,NA
104,AB-24010202,NA
104,AB-24010203,NA
105,AB-25010101,NA
105,AB-25010102,NA
105,AB-25010301,NA
103,BC_1,NA
103,BC_10,NA
103,BC_100,NA
103,BC_101,NA
103,BC_102,NA
103,BC_103,NA
105,BC_104,NA
104,BC_105,NA
105,BC_106,NA
103,BC_107,NA
103,BC_108,NA
105,BC_109,NA
103,BC_11,NA
103,BC_110,NA
105,BC_111,NA
103,BC_112,NA
103,BC_113,NA
103,BC_114,NA
103,BC_115,NA
104,BC_116,NA
104,BC_117,NA
105,BC_118,NA
105,BC_119,NA
103,BC_12,NA
105,BC_120,NA
103,BC_121,NA
103,BC_122,NA
105,BC_123,NA
103,BC_124,NA
103,BC_125,NA
103,BC_126,NA
103,BC_127,NA
103,BC_128,NA
103,BC_129,NA
105,BC_13,NA
105,BC_130,NA
103,BC_131,NA
104,BC_132,NA
103,BC_133,NA
105,BC_134,NA
103,BC_135,NA
104,BC_136,NA
105,BC_137,NA
103,BC_138,NA
103,BC_139,NA
103,BC_14,NA
103,BC_140,NA
105,BC_141,NA
103,BC_142,NA
103,BC_143,NA
104,BC_144,NA
103,BC_145,NA
103,BC_146,NA
103,BC_147,NA
103,BC_148,NA
103,BC_149,NA
103,BC_15,NA
103,BC_150,NA
103,BC_151,NA
104,BC_152,NA
103,BC_153,NA
103,BC_154,NA
103,BC_155,NA
103,BC_156,NA
103,BC_157,NA
103,BC_158,NA
103,BC_159,NA
103,BC_16,NA
103,BC_160,NA
120,BC_161,NA
104,BC_162,NA
103,BC_163,NA
104,BC_164,NA
103,BC_165,NA
104,BC_166,NA
104,BC_167,NA
104,BC_168,NA
103,BC_169,NA
103,BC_17,NA
103,BC_170,NA
103,BC_171,NA
120,BC_172,NA
105,BC_173,NA
105,BC_174,NA
103,BC_175,NA
103,BC_176,NA
103,BC_177,NA
103,BC_178,NA
103,BC_179,NA
103,BC_18,NA
103,BC_180,NA
104,BC_181,NA
103,BC_182,NA
103,BC_183,NA
120,BC_184,NA
103,BC_185,NA
120,BC_186,NA
120,BC_187,NA
104,BC_188,NA
103,BC_189,NA
120,BC_19,NA
103,BC_190,NA
103,BC_191,NA
103,BC_192,NA
103,BC_193,NA
103,BC_194,NA
103,BC_195,NA
102,BC_196,NA
103,BC_197,NA
103,BC_198,NA
103,BC_199,NA
103,BC_2,NA
103,BC_20,NA
103,BC_200,NA
103,BC_201,NA
103,BC_202,NA
103,BC_203,NA
102,BC_204,NA
103,BC_205,NA
105,BC_206,NA
103,BC_207,NA
104,BC_208,NA
103,BC_209,NA
120,BC_21,NA
105,BC_210,NA
103,BC_211,NA
105,BC_212,NA
