SARA_ID,WSCSSDA_ID
SARA_1,11AA
SARA_2,05AE
SARA_3,08NN
SARA_4,08NN
SARA_5,08NN
SARA_6,08HB
SARA_7,08HB
SARA_8,08HB
SARA_9,08HB
SARA_10,10BE
SARA_11,05PH
SARA_12,05PF
SARA_12,05PH
SARA_13,207
SARA_14,02GG
SARA_14,02GH
SARA_15,02GH
SARA_16,11AA
SARA_17,01EE
SARA_18,01EE
SARA_19,01EE
SARA_20,01AQ
SARA_21,01AQ
SARA_21,01DB
SARA_26,08MH
SARA_31,08ND
SARA_31,08NE
SARA_32,08NE
SARA_32,08NH
SARA_33,08NE
SARA_34,08JB
SARA_35,08JB
SARA_35,08JC
SARA_36,08JC
SARA_36,08JE
SARA_37,08JE
SARA_38,08JE
SARA_39,08JD
SARA_39,08JE
SARA_40,08KA
SARA_40,08KD
SARA_41,08KA
SARA_41,08KC
SARA_41,08KD
SARA_41,08KE
SARA_42,08JC
SARA_42,08KE
SARA_43,08NH
SARA_44,02OJ
SARA_45,02OJ
SARA_46,02OJ
SARA_47,210
SARA_47,02OB
SARA_48,02MC
SARA_49,02OB
SARA_50,210
SARA_50,02OJ
SARA_51,02LE
SARA_52,210
SARA_52,02PF
SARA_52,02QA
SARA_52,02RH
SARA_53,03FA
SARA_54,03FA
SARA_55,03FA
SARA_56,01AP
SARA_56,01BV
SARA_57,01DH
SARA_57,01DN
SARA_57,01DO
SARA_58,01DJ
SARA_59,01DH
SARA_59,01DJ
SARA_59,01DN
SARA_60,01DC
SARA_60,01DD
SARA_60,01DE
SARA_60,01EF
SARA_60,01EG
SARA_61,01DH
SARA_61,01DJ
SARA_61,01DN
SARA_62,01AP
SARA_62,01BU
SARA_62,01BV
SARA_63,01DJ
SARA_63,01DN
SARA_64,01DG
SARA_64,01DH
SARA_64,01DP
SARA_64,01EK
SARA_64,01EM
SARA_64,01EO
SARA_65,01BV
SARA_70,02GD
SARA_71,02GD
SARA_72,209
SARA_72,02HB
SARA_73,02GA
SARA_74,02GE
SARA_75,02GA
SARA_75,02GB
SARA_76,02GD
SARA_77,02GD
SARA_78,02GA
SARA_79,02GD
SARA_80,02GE
SARA_81,209
SARA_81,02HB
SARA_82,02GD
SARA_83,02GD
SARA_83,02GE
SARA_84,02GD
SARA_85,02GD
SARA_86,02HB
SARA_87,02GD
SARA_88,02GD
SARA_89,02GD
SARA_90,08GF
SARA_90,08HD
SARA_90,08HF
SARA_90,08OA
SARA_91,08GB
SARA_91,08HA
SARA_91,08MH
SARA_92,207
SARA_92,02GH
SARA_93,02HL
SARA_94,209
SARA_94,02HL
SARA_95,02HM
SARA_96,02HL
SARA_97,02HK
SARA_98,02GC
SARA_100,209
SARA_101,203
SARA_104,02FC
SARA_105,209
SARA_106,209
SARA_107,209
SARA_108,02GF
SARA_109,02GF
SARA_110,207
SARA_110,02GF
SARA_111,02GF
SARA_112,02GF
SARA_113,207
SARA_113,02GF
SARA_114,207
SARA_114,02GF
SARA_115,207
SARA_115,02GF
SARA_116,02GF
SARA_117,02GF
SARA_118,207
SARA_118,02GF
SARA_119,02GF
SARA_120,207
SARA_120,02GF
SARA_121,207
SARA_122,207
SARA_122,02GC
SARA_123,207
SARA_125,207
SARA_126,207
SARA_126,02GC
SARA_127,207
SARA_127,02GC
SARA_128,08MH
SARA_129,08MH
SARA_130,08MH
SARA_131,08MH
SARA_132,08MH
SARA_138,02GE
SARA_139,02GG
SARA_140,02GG
SARA_141,02GG
SARA_142,02HA
SARA_143,02HB
SARA_144,02GB
SARA_145,02HB
SARA_146,02HA
SARA_147,02GG
SARA_148,02GH
SARA_149,02GG
SARA_150,02GG
SARA_151,02GG
SARA_152,02GG
