,FederalSit,Property_N,Site_Name_,CurrentSit,ClassType,ClassEN,Location_E,DOB_Identi,DOB_Name_E,Involvemen,Involvem_1,PropertyTy,Property_1,Contaminan,Contamin_1,Contaminat,Management,Additional,Action_EN,NonFedOwne,NonFedOw_1,EstCubicMe,EstHectare,EstTonsCon,Population,Populati_1,Populati_2,Populati_3,Populati_4,Province_C,Province_N,Census_Sub,Census_S_1,Federal_El,Federal__1,Country_Co,Country_Na,Latitude,Longitude,Created,Modified,FCSILink_E,mi_prinx,PRV_WSHD_I,NHN_TWS_ID
1,2,2784,Stanley Park,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)",Soil,Office/Commercial/Industrial Operations,Additional assessment,NA,NA,0,NA,19000,2.3,36000,12242,222698,577199,1203070,1433369,35,Ontario,8,Ottawa,78,Ottawa--Vanier,CA,Canada,45.43952,-75.68897,10/19/2005,10/19/2005,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000002-eng.aspx,2,ON-02LA-01,02LA
2,4,2715,LeBreton Flats,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,3,Federal activities,N,Non-Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,2,Municipal Government,0,0.4,0,15483,228369,647139,1221173,1438373,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41536,-75.71085,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000004-eng.aspx,4,ON-02LB-03,02LA
3,6,2723,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.6096,0,17733,229271,646218,1220712,1438604,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41487,-75.70938,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000006-eng.aspx,6,ON-02LB-03,02LA
4,7,4074,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.3555,0,16491,228787,648718,1222015,1438588,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41435,-75.71077,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000007-eng.aspx,7,ON-02LB-03,02LA
5,8,2713,LeBreton Flats,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.248,0,14927,227939,650155,1222696,1438479,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41437,-75.712,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000008-eng.aspx,8,ON-02LB-03,02LA
6,9,2721,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.1905,0,16333,228782,649421,1222454,1438622,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41405,-75.71106,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000009-eng.aspx,9,ON-02LB-03,02LA
7,10,2712,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currently under review by Health Canada and Environment Canada.,0,NA,0,0.327,0,14642,227595,651270,1223318,1438535,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41388,-75.71278,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000010-eng.aspx,10,ON-02LB-03,02LA
8,11,4069,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.6347,0,15685,228427,650522,1223058,1438630,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41367,-75.71183,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000011-eng.aspx,11,ON-02LB-03,02LA
9,12,2711,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III Environmental Site Assessment and PQRA is currently under review by Health Canada and Environment Canada.,0,NA,0,1.8565,0,14030,226586,652775,1224334,1438702,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41307,-75.71423,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000012-eng.aspx,12,ON-02LB-03,02LA
10,13,2716,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.0535,0,15142,227701,651688,1223935,1438692,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.413,-75.713,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000013-eng.aspx,13,ON-02LB-03,02LA
11,14,1510,Lebreton South,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,13178,226134,653685,1224975,1439039,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41174,-75.7156,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000014-eng.aspx,14,ON-02LB-03,02LA
12,15,2662,LeBreton Flats - Nepean Bay,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,Additional assessment,NA,NA,0,NA,0,19.4615,0,9842,222339,654613,1225649,1439572,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41153,-75.71988,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000015-eng.aspx,15,ON-02LB-03,02LA
