En_Name,Bio_Zone_Code,PRV_WSHD_I,NHN_TWS_ID
Saskatchewan - Nelson River,5,AB-02010101,NA
Saskatchewan - Nelson River,5,AB-02010102,NA
Saskatchewan - Nelson River,5,AB-02010103,NA
Missouri,11,AB-02020101,NA
Missouri,11,AB-02020102,NA
Missouri,11,AB-02020103,NA
Missouri,11,AB-02020104,NA
Missouri,11,AB-02020201,NA
Missouri,11,AB-02020202,NA
Missouri,11,AB-02020203,NA
Saskatchewan - Nelson River,5,AB-04010101,NA
Saskatchewan - Nelson River,5,AB-04010102,NA
Saskatchewan - Nelson River,5,AB-04010103,NA
Saskatchewan - Nelson River,5,AB-04010104,NA
Saskatchewan - Nelson River,5,AB-04010105,NA
Saskatchewan - Nelson River,5,AB-04010201,NA
Saskatchewan - Nelson River,5,AB-04010301,NA
Saskatchewan - Nelson River,5,AB-04010302,NA
Saskatchewan - Nelson River,5,AB-04010303,NA
Saskatchewan - Nelson River,5,AB-04010401,NA
Saskatchewan - Nelson River,5,AB-04010402,NA
Saskatchewan - Nelson River,5,AB-04010501,NA
Saskatchewan - Nelson River,5,AB-04010502,NA
Saskatchewan - Nelson River,5,AB-04010503,NA
Saskatchewan - Nelson River,5,AB-04010504,NA
Saskatchewan - Nelson River,5,AB-04010505,NA
Saskatchewan - Nelson River,5,AB-04010601,NA
Saskatchewan - Nelson River,5,AB-04010602,NA
Saskatchewan - Nelson River,5,AB-04020101,NA
Saskatchewan - Nelson River,5,AB-04020201,NA
Saskatchewan - Nelson River,5,AB-04020301,NA
Saskatchewan - Nelson River,5,AB-04020401,NA
Saskatchewan - Nelson River,5,AB-04020501,NA
Saskatchewan - Nelson River,5,AB-04020601,NA
Saskatchewan - Nelson River,5,AB-04020701,NA
Saskatchewan - Nelson River,5,AB-04020801,NA
Saskatchewan - Nelson River,5,AB-04020802,NA
Saskatchewan - Nelson River,5,AB-04020803,NA
Saskatchewan - Nelson River,5,AB-04020901,NA
Saskatchewan - Nelson River,5,AB-04020902,NA
Saskatchewan - Nelson River,5,AB-04020903,NA
Saskatchewan - Nelson River,5,AB-04021001,NA
Saskatchewan - Nelson River,5,AB-04021101,NA
Saskatchewan - Nelson River,5,AB-04021102,NA
Saskatchewan - Nelson River,5,AB-04021201,NA
Saskatchewan - Nelson River,5,AB-04021202,NA
Saskatchewan - Nelson River,5,AB-04021301,NA
Saskatchewan - Nelson River,5,AB-04021302,NA
Saskatchewan - Nelson River,5,AB-04030101,NA
Saskatchewan - Nelson River,5,AB-04030201,NA
Saskatchewan - Nelson River,5,AB-04030202,NA
Saskatchewan - Nelson River,5,AB-04030301,NA
Saskatchewan - Nelson River,5,AB-04030401,NA
Saskatchewan - Nelson River,5,AB-04030501,NA
Saskatchewan - Nelson River,5,AB-04030601,NA
Saskatchewan - Nelson River,5,AB-07010101,NA
Saskatchewan - Nelson River,5,AB-07010102,NA
Saskatchewan - Nelson River,5,AB-07010103,NA
Saskatchewan - Nelson River,5,AB-07010104,NA
Saskatchewan - Nelson River,5,AB-07010105,NA
Saskatchewan - Nelson River,5,AB-07010106,NA
Saskatchewan - Nelson River,5,AB-07010107,NA
Saskatchewan - Nelson River,5,AB-07010108,NA
Saskatchewan - Nelson River,5,AB-07010109,NA
Saskatchewan - Nelson River,5,AB-08010101,NA
Saskatchewan - Nelson River,5,AB-08010102,NA
Saskatchewan - Nelson River,5,AB-08010103,NA
Saskatchewan - Nelson River,5,AB-08010104,NA
Saskatchewan - Nelson River,5,AB-08010201,NA
Saskatchewan - Nelson River,5,AB-08010202,NA
Saskatchewan - Nelson River,5,AB-08010203,NA
Saskatchewan - Nelson River,5,AB-08010301,NA
Saskatchewan - Nelson River,5,AB-08010302,NA
Saskatchewan - Nelson River,5,AB-08010303,NA
Saskatchewan - Nelson River,5,AB-08020101,NA
Saskatchewan - Nelson River,5,AB-08020102,NA
Saskatchewan - Nelson River,5,AB-08020103,NA
Saskatchewan - Nelson River,5,AB-08020201,NA
Saskatchewan - Nelson River,5,AB-08020202,NA
Saskatchewan - Nelson River,5,AB-08020203,NA
Saskatchewan - Nelson River,5,AB-08020204,NA
Saskatchewan - Nelson River,5,AB-08020205,NA
Saskatchewan - Nelson River,5,AB-08020206,NA
Saskatchewan - Nelson River,5,AB-08030101,NA
Saskatchewan - Nelson River,5,AB-08030102,NA
Saskatchewan - Nelson River,5,AB-08030201,NA
Saskatchewan - Nelson River,5,AB-08030202,NA
Saskatchewan - Nelson River,5,AB-08030203,NA
Saskatchewan - Nelson River,5,AB-08030301,NA
Saskatchewan - Nelson River,5,AB-08030302,NA
Saskatchewan - Nelson River,5,AB-08030303,NA
Saskatchewan - Nelson River,5,AB-08030401,NA
Saskatchewan - Nelson River,5,AB-08030402,NA
Saskatchewan - Nelson River,5,AB-08030403,NA
Saskatchewan - Nelson River,5,AB-08030404,NA
Saskatchewan - Nelson River,5,AB-08040101,NA
Saskatchewan - Nelson River,5,AB-09010101,NA
Saskatchewan - Nelson River,5,AB-09010102,NA
Saskatchewan - Nelson River,5,AB-09010103,NA
Saskatchewan - Nelson River,5,AB-09010104,NA
Saskatchewan - Nelson River,5,AB-09010105,NA
Saskatchewan - Nelson River,5,AB-09020101,NA
Saskatchewan - Nelson River,5,AB-09020102,NA
Saskatchewan - Nelson River,5,AB-09020201,NA
Saskatchewan - Nelson River,5,AB-09020202,NA
Saskatchewan - Nelson River,5,AB-09030101,NA
Saskatchewan - Nelson River,5,AB-09030102,NA
Saskatchewan - Nelson River,5,AB-09030103,NA
Saskatchewan - Nelson River,5,AB-09030104,NA
Saskatchewan - Nelson River,5,AB-09030201,NA
Saskatchewan - Nelson River,5,AB-09030202,NA
Saskatchewan - Nelson River,5,AB-11010101,NA
Saskatchewan - Nelson River,5,AB-11010102,NA
Saskatchewan - Nelson River,5,AB-11010103,NA
Saskatchewan - Nelson River,5,AB-11010201,NA
Saskatchewan - Nelson River,5,AB-11010202,NA
Saskatchewan - Nelson River,5,AB-11010203,NA
Saskatchewan - Nelson River,5,AB-11010301,NA
Saskatchewan - Nelson River,5,AB-11010302,NA
Saskatchewan - Nelson River,5,AB-11010401,NA
Saskatchewan - Nelson River,5,AB-11010402,NA
Saskatchewan - Nelson River,5,AB-11010403,NA
Saskatchewan - Nelson River,5,AB-11010404,NA
Saskatchewan - Nelson River,5,AB-11010405,NA
Saskatchewan - Nelson River,5,AB-11010406,NA
Saskatchewan - Nelson River,5,AB-11020101,NA
Saskatchewan - Nelson River,5,AB-11020102,NA
Saskatchewan - Nelson River,5,AB-11020103,NA
Saskatchewan - Nelson River,5,AB-11020104,NA
Saskatchewan - Nelson River,5,AB-11020201,NA
Saskatchewan - Nelson River,5,AB-11020202,NA
Saskatchewan - Nelson River,5,AB-11020203,NA
Saskatchewan - Nelson River,5,AB-11020301,NA
Saskatchewan - Nelson River,5,AB-11020302,NA
Saskatchewan - Nelson River,5,AB-11030101,NA
Saskatchewan - Nelson River,5,AB-11030102,NA
Saskatchewan - Nelson River,5,AB-11030201,NA
Saskatchewan - Nelson River,5,AB-11030202,NA
Saskatchewan - Nelson River,5,AB-11030203,NA
Saskatchewan - Nelson River,5,AB-11030204,NA
Saskatchewan - Nelson River,5,AB-11030205,NA
Saskatchewan - Nelson River,5,AB-11040101,NA
Saskatchewan - Nelson River,5,AB-11040102,NA
Saskatchewan - Nelson River,5,AB-11040103,NA
Saskatchewan - Nelson River,5,AB-11040104,NA
Saskatchewan - Nelson River,5,AB-11040201,NA
Saskatchewan - Nelson River,5,AB-11040202,NA
Saskatchewan - Nelson River,5,AB-11040203,NA
Saskatchewan - Nelson River,5,AB-11040204,NA
Saskatchewan - Nelson River,5,AB-11040301,NA
Saskatchewan - Nelson River,5,AB-11040302,NA
Western Hudson Bay,6,AB-12010101,NA
Western Hudson Bay,6,AB-12010102,NA
Western Hudson Bay,6,AB-12010201,NA
Western Hudson Bay,6,AB-12010202,NA
Western Hudson Bay,6,AB-12010203,NA
Western Hudson Bay,6,AB-12020101,NA
Western Hudson Bay,6,AB-12020102,NA
Western Hudson Bay,6,AB-12020103,NA
Western Hudson Bay,6,AB-12020104,NA
Western Hudson Bay,6,AB-12020105,NA
Western Hudson Bay,6,AB-12020201,NA
Western Hudson Bay,6,AB-12020301,NA
Western Hudson Bay,6,AB-12020302,NA
Western Hudson Bay,6,AB-13010101,NA
Western Hudson Bay,6,AB-15010101,NA
Western Arctic,101,AB-16010101,NA
Western Arctic,101,AB-17010101,NA
Western Arctic,101,AB-17010102,NA
Western Arctic,101,AB-17010103,NA
Western Arctic,101,AB-17010104,NA
Western Arctic,101,AB-17010105,NA
Western Arctic,101,AB-17010106,NA
Western Arctic,101,AB-17010107,NA
Western Arctic,101,AB-17010201,NA
Western Arctic,101,AB-17010301,NA
Western Arctic,101,AB-17010302,NA
Western Arctic,101,AB-17010401,NA
Western Arctic,101,AB-17010501,NA
Western Arctic,101,AB-17010601,NA
Western Arctic,101,AB-17010602,NA
Western Arctic,101,AB-17010603,NA
Western Arctic,101,AB-17010701,NA
Western Arctic,101,AB-17010702,NA
