,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,COM_GROU_E,COM_GROU_F,COM_DESC_E,COM_DESC_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
1,Long Harbour,Long Harbour,Vale Newfoundland and Labrador Limited,Vale Newfoundland and Labrador Limited,Refinery,Affinerie,Base metals,Métaux communs,"Nickel, copper, cobalt","Nickel, cuivre, cobalt",Newfoundland and Labrador,Terre-Neuve et Labrador,47.410938,-53.811792,NA,02ZK,-53.811792,47.410938
2,Alouette,Alouette,Rio Tinto Aluminum Inc. / Aluminium Austria Metall Québec Inc. / Hydro Aluminium a.s. / Société générale de financement du Québec / Marubeni Québec Inc.,Rio Tinto Aluminum Inc. / Aluminium Austria Metall Québec Inc. / Hydro Aluminium a.s. / Société générale de financement du Québec / Marubeni Québec Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure),Aluminium (pur),Quebec,Québec,50.1571,-66.4429,NA,210,-66.4429,50.1571
3,Baie-Comeau,Baie-Comeau,Alcoa Corporation,Alcoa Corporation,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),Quebec,Québec,49.2562,-68.1491,NA,210,-68.1491,49.2562
4,Grande-Baie,Grande-Baie,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),Quebec,Québec,48.3058,-70.9258,NA,02RH,-70.9258,48.3058
5,Laterrière,Laterrière,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),Quebec,Québec,48.3013,-71.1287,NA,02RH,-71.1287,48.3013
6,Vaudreuil,Vaudreuil,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Refinery,Affinerie,Aluminum,Aluminum,Alumina,Alumine,Quebec,Québec,48.428476,-71.157919,NA,02RH,-71.157919,48.428476
7,Arvida,Arvida,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,"Aluminum (pure or alloyed), alumina, aluminum chemicals, composites","Al (pur ou allié), alumine, produits chimiques d’aluminium, matériaux composites",Quebec,Québec,48.430174,-71.165521,NA,02RH,-71.165521,48.430174
8,Alma,Alma,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),Quebec,Québec,48.5847,-71.6897,NA,02RG,-71.6897,48.5847
9,Deschambault,Deschambault,Alcoa Corporation,Alcoa Corporation,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure),Aluminium (pur),Quebec,Québec,46.6939,-71.9467,NA,02PC,-71.9467,46.6939
10,Bécancour,Bécancour,Alcoa Corporation / Rio Tinto Aluminum Inc.,Alcoa Corporation / Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),Quebec,Québec,46.381,-72.3852,NA,210,-72.3852,46.381
