Year_of_last_filed_report,NPRI_Site_ID,Company_Name,Facility_Name,Address_line_1,Address_line_2,City,Province,Postal_Code,Key_Industrial_Sector,Datum,Latitude,Longitude,PRV_WSHD_I,NHN_TWS_ID
2021,1,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,,,County of Athabasca,AB,T0A 0M0,Pulp and Paper,WGS84,54.923116,-112.861867,AB-17050201,07CB
2009,4,TEMBEC,PINE FALLS OPERATIONS,Highway 11 and Mill Road,UTM 14U E0696466 N5605378,PINE FALLS,MB,R0E1M0,Pulp and Paper,WGS84,50.5686,-96.2267,NA,05PF
2007,7,HEXION SPECIALTY CHEMICALS CANADA INC.,HEXION - LAVAL,2075 Francis Hughes,,LAVAL,QC,H7S1N5,Chemicals,WGS84,45.5797,-73.7217,NA,210
2003,9,"BORDEN CHEMICAL CANADA, INC.",BORDEN CHEMICAL - NORTH BAY,105 Drury Street,,NORTH BAY,ON,P1A3Z7,Chemicals,WGS84,46.3098,-79.4412,ON-02DD-05,02DD
2021,11,Hexion Canada Inc.,Hexion Canada Inc.- Edmonton Facility,,,Edmonton,AB,T5V 1E1,Chemicals,WGS84,53.5823,-113.5886,AB-11020201,05DF
2006,13,HEXION SPECIALTY CHEMICAL CANADA INC.,HEXION - VANCOUVER,1550 West 75 Avenue,,VANCOUVER,BC,V6P3G3,Chemicals,WGS84,49.2046,-123.1419,BC_103,08MH
2021,15,"Dofasco Inc., Stelco Inc.",Baycoat,,,Hamilton,ON,L8N 3K7,Other Manufacturing,WGS84,43.2428,-79.7503,NA,209
2012,18,Novelis Inc.,Usine Saguenay,2040 Fay,,JONQUIÈRE,QC,G7S4K6,Aluminum,WGS84,48.4211,-71.1898,NA,02RH
2021,21,Bolton Steel Tube Co. Ltd.,Bolton Plant,,,Bolton,ON,L7E 5B8,Iron and Steel,WGS84,43.8656,-79.7308,ON-02HC-03,02HC
2018,22,Nylene Canada Inc.,Nylene Canada Inc.,200 McNab Street,,ARNPRIOR,ON,K7S3P2,Other Manufacturing,WGS84,45.4358,-76.3372,ON-02KF-01,02KF
1997,25,BASF Canada Inc.,Brantford Site,10 Craig Street,,BRANTFORD,ON,N3T5M3,Chemicals,WGS84,43.1629,-80.2464,ON-02GB-03,02GB
2021,28,BASF Canada Inc.,CORNWALL SITE,,,Cornwall,ON,K6J 2B5,Chemicals,WGS84,45.0189,-74.7551,ON-02MCA03,02MC
2021,31,BASF Canada Inc.,Windsor Site,,,Windsor,ON,N9A 5Y1,Chemicals,WGS84,42.3111,-83.0456,ON-02GHA02,02GH
2021,34,BASF Canada Inc.,TORONTO SITE,,,Toronto,ON,M9W 1K1,Chemicals,WGS84,43.6903,-79.5972,NA,02HC
1995,37,BASF Canada Inc. - Sarnia Site,,973 South Vidal Street,,SARNIA,ON,N7T7M2,Chemicals,WGS84,42.9509,-82.414,NA,02FF
2021,40,Masonite International Corporation,Windsor,,,Windsor,QC,J1S 2T2,Wood Products,WGS84,45.582729,-71.995388,NA,02OF
2007,43,BASF CANADA,GEORGETOWN SITE,80  TODD Road,,GEORGETOWN,ON,L7G4R7,Other Manufacturing,WGS84,43.6533,-79.8953,ON-02HB-05,02HB
2011,49,ADS inc.,Texel Matériaux Enduits,1145 Bélanger Rue,,SHERBROOKE,QC,J1K2B1,Plastics and Rubber,WGS84,45.388,-71.9428,NA,02OE
2009,52,BÉTONEL,USINE DE TERREBONNE,4170 Nancy,,TERREBONNE,QC,J6X4H4,Chemicals,WGS84,45.7406,-73.6942,NA,02OA
2017,54,Glencore Canada Corporation,Brunswick Mine,Highway 430 Highway West,,BATHURST,NB,E8G2M1,Mining and Quarrying,WGS84,47.4717,-65.8897,NA,01BJ
2021,57,Bombardier Inc.,USINE DE LA POCATIÈRE,,,La Pocatière,QC,G0R 1Z0,Transportation Equipment Mfg.,WGS84,47.3594,-70.0509,NA,210
1993,61,BRIDPORT INDUSTRIES LIMITED,,,,,NS,,,WGS84,44.66378,-63.56803,NA,01EJ
2018,64,B&W Heat Treating Canada ULC,Plant No. 1,60 Steckle Place,,KITCHENER,ON,N2G2C3,Other Manufacturing,WGS84,43.4036,-80.4608,ON-02GA-02,02GA
2009,65,BATTENFELD GREASE CANADA,BATTENFELD GREASE CANADA,68 Titan Road,,ETOBICOKE,ON,M8Z2J8,Petroleum and Coal Product Refining and Mfg.,WGS84,43.6297,-79.5231,NA,02HC
2021,70,TI Automotive Canada Inc.,Bramalea Plant,,,Bramalea,ON,L6T 1G3,Transportation Equipment Mfg.,WGS84,43.7028,-79.7039,ON-02HC-01,02HC
2004,78,GE BETZ CANADA,N/A,"75, Hymus Blvd",,POINTE-CLAIRE,QC,H9R1E2,Chemicals,WGS84,45.4542,-73.8278,NA,210
2021,79,Suez Water Technologies & Solutions Canada,Suez Water Technologies & Solutions Canada- EDMONTON,,,Edmonton,AB,T5L 2H8,Chemicals,WGS84,53.5894,-113.5747,AB-11020201,05DF
2000,87,ACCUFLEX INDUSTRIAL HOSE LTD.,,50 Malclom Rd.,,GUELPH,ON,N1K1A9,Plastics and Rubber,WGS84,43.5381,-80.3186,ON-02GA-09,02GA
2007,90,SAMUEL STRAPPING SYSTEMS,SCARBOROUGH LOCATION,743 WARDEN AVENUE,,SCARBOROUGH,ON,M1L4A9,Iron and Steel,WGS84,43.7172,-79.2832,ON-02HC-06,02HC
2016,92,CCL Container Canada,CCL Container - Aerosol Division Penetanguishene,163 Robert Street,,PENETANGUISHENE,ON,L9M2G2,Aluminum,WGS84,44.7775,-79.9147,NA,02ED
2004,96,AFGD GLASS,FABRICATED PRODUCTS DIVISION,75  DONEY Crescent,,CONCORD,ON,L4K1P6,"Cement, Lime and Other Non-Metallic Minerals",WGS84,43.7941,-79.5029,ON-02HC-06,02HC
2021,99,Les Mines Agnico Eagle Limitée,Division Laronde,,,Rouyn-Noranda,QC,J0Y 1C0,Mining and Quarrying,WGS84,48.2375,-78.3958,NA,02JB
2006,100,LES PRODUITS AGROB,LES PRODUITS AGROB - MERCIER,1143 Boul St-Jean-Baptiste,,MERCIER,QC,J6R2L1,Chemicals,WGS84,45.3004,-73.7522,NA,02OA
2021,105,Aldex Chemical Co. Ltd.,ALDEX CHEMICAL,,,Granby,QC,J2G 8V1,Other Manufacturing,WGS84,45.3907,-72.7547,NA,02OG
2021,106,Canadian Natural Resources Limited,Dunvegan Sour Gas Plant,,,Fairview,AB,,Conventional Oil and Gas extraction,WGS84,55.9967,-118.5336,AB-18010209,07FD
2005,108,NEWMONT CANADA LTD,HOLLOWAY MINE (SHAFT #3),P.O. Box 279,Hwy# 101 E,MATHESON,ON,P0K1N0,Mining and Quarrying,WGS84,48.5212,-81.1218,ON-04MD-08,04MD
2021,109,Alumabrite Anodizing,ALUMABRITE ANODIZING,,,Hamilton,ON,L8E 3L9,Aluminum,WGS84,43.2344,-79.7439,NA,02HA
1993,110,Almico Products Ltd.,,,,,ON,,,WGS84,44.8847,-76.0172,ON-02LA-04,02LA
2021,111,Apotex Inc.,Apotex Inc. 150 Signet Drive,,,Toronto,ON,M9L 1T9,Chemicals,WGS84,43.7639,-79.5408,ON-02HC-02,02HC
1997,112,Achitectural Onament Inc.,,216 Rivermede Rd. Unit 7 & 8,,CNCORD,ON,L4K3M6,Plastics and Rubber,WGS84,43.8112,-79.4898,ON-02HC-06,02HC
1998,113,A.R.CLARKE LTD.,,633 Eastern Ave,,TORONTO,ON,M4M1E5,Other Manufacturing,WGS84,43.6587,-79.3373,NA,209
2012,116,Progress Plastiques Cie.,usine rue Canadien,2400 Canadien,,DRUMMONDVILLE,QC,J2C7W3,Chemicals,WGS84,45.8795,-72.5458,NA,02OF
2009,117,ARVINMERITOR - RIDE CONTROL,ARVINMERITOR - RIDE CONTROL,3560-3600 Lakeshore Boulevard West,,TORONTO,ON,M8W1N8,Transportation Equipment Mfg.,WGS84,43.595,-79.5383,NA,209
2021,120,Univar Solutions Canada Ltd,Mississauga,,,Mississauga,ON,L5J 4E7,Other (Except Manufacturing),WGS84,43.4988,-79.6446,NA,02HB
2021,123,Associated Tube Industries,A.T.I,,,Markham,ON,L3R 1A7,Iron and Steel,WGS84,43.8236,-79.3514,ON-02HC-06,02HC
2021,125,Atlantic Packaging Products Ltd.,Whitby,,,Whitby,ON,L1N 9E1,Pulp and Paper,WGS84,43.8606,-78.9017,NA,02HD
2021,126,Celanese Canada ULC.,Edmonton Site,,,Edmonton,AB,T6A 0L2,Chemicals,WGS84,53.5397,-113.4092,AB-11030101,05EB
1997,127,Parmalat Canada,New Dundee,63 Benjamin St.,,NEW DUNDEE,ON,N0B2E0,Other Manufacturing,WGS84,43.3507,-80.5347,ON-02GA-06,02GA
2013,135,Hood Packaging Corporation,Burlington Plastics Division,2360 MCDOWELL ROAD,,BURLINGTON,ON,L7R4A1,Plastics and Rubber,WGS84,43.3475,-79.8008,NA,02HB
2010,136,BORGWARNER CANADA INC.,N/A,385 Second Avenue,,SIMCOE,ON,N3Y4L5,Transportation Equipment Mfg.,WGS84,42.8486,-80.3197,ON-02GC-02,02GC
2015,139,The Butcher Engineering Enterprises Ltd.,Butcher Industrial Finishings Inc.(Orenda),120 Orenda Road,,BRAMPTON,ON,L6W1W2,Other Manufacturing,WGS84,43.6956,-79.7328,ON-02HC-01,02HC
2021,144,CAE Inc.,Usine de Saint-Laurent,,,Saint-Laurent,QC,H4T 1G6,Transportation Equipment Mfg.,WGS84,45.4769,-73.7028,NA,210
1997,147,Cambior,Usine Yvan-Vezina,1071 chemin du Parc,,DESTOR,QC,J9X5A3,Mining and Quarrying,WGS84,48.4583,-78.95,NA,02JB
2021,151,Inossman North American Corp.,CANADA ALLOY CASTINGS,,,Kitchener,ON,N2C 1S2,Iron and Steel,WGS84,43.4005,-80.4475,ON-02GA-02,02GA
2021,152,Carpenter Canada Co - Calgary,Calgary Division,,,Calgary,AB,T2C 2A9,Plastics and Rubber,WGS84,51.0011,-113.9808,AB-04020901,05BM
2021,156,Brenntag Canada Inc.,Montreal Facility (QS11),,,Saint-Laurent,QC,H4S 1V1,Other (Except Manufacturing),WGS84,45.4939,-73.7615,NA,210
2021,158,Canada Metal North America Ltd,Usine St-Léonard,,,Saint-Léonard,QC,H1P 2B1,Metals (Except Aluminum and Iron and Steel),WGS84,45.5973,-73.5841,NA,210
2021,159,Bunge Canada ,BUNGE CANADA - ALTONA PLANT,,,Altona,MB,R0G 0B0,Other Manufacturing,WGS84,49.1108,-97.566,NA,05OC
2021,161,Bunge Canada ,BUNGE CANADA - HAMILTON,,,Hamilton,ON,L8N 3K7,Other Manufacturing,WGS84,43.2683,-79.8506,ON-02HB-01,02HB
2021,163,Bunge Canada ,BUNGE CANADA - NIPAWIN PLANT,,,Nipawin,SK,S0E 1E0,Other Manufacturing,WGS84,53.3252,-104.027,NA,05KD
2009,165,BUNGE CANADA,BUNGE CANADA - MONTRÉAL PLANT,1260 Mill Street,,MONTRÉAL,QC,H3K2B5,Other Manufacturing,WGS84,45.4889,-73.5516,NA,210
2008,167,BUNGE CANADA,BUNGE CANADA - TORONTO PLANT,30  WESTON Road,,TORONTO,ON,M6N3P4,Other Manufacturing,WGS84,43.6728,-79.4681,ON-02HC-02,209
2021,169,Bunge Canada ,BUNGE CANADA - WAINWRIGHT PLANT,,,Wainwright,AB,T9W 1S8,Other Manufacturing,WGS84,52.8292,-110.8592,AB-09030101,05FE
1993,171,CARADON CONSUMER PRODUCTS,,,,,ON,,,WGS84,43.6628,-79.6583,ON-02HC-01,02HC
2021,174,GreenMantra Technologies,GreenMantra Technologies,,,Brantford,ON,N3S 5A1,Chemicals,WGS84,43.1483,-80.2556,ON-02GB-03,02GB
2021,177,Coveright Surfaces Canada Inc.,COVERIGHT SURFACES CANADA,,,Cobourg,ON,K9A 4R5,Pulp and Paper,WGS84,43.9578,-78.1197,NA,209
1993,178,CASH MOULD & CASTINGS,,,,,ON,,,WGS84,42.97912,-81.2449,ON-02GD-03,02GD
2021,179,"Voyant Beauty, Inc.",Plant #1,,,Etobicoke,ON,M9W 1M6,Chemicals,WGS84,43.7083,-79.5681,ON-02HC-02,02HC
2021,181,"Voyant Beauty, Inc.",Plant #2,,,Etobicoke,ON,M9W 4J6,Chemicals,WGS84,43.7111,-79.5669,ON-02HC-02,02HC
2001,183,CDM PAPIERS DÉCORS INC,CDM PAPIERS DÉCORS,"3075, BERNIER",,DRUMMONDVILLE,QC,J2C6Y4,Pulp and Paper,WGS84,45.8756,-72.5442,NA,02OF
2021,185,A-Z Foam  Ltd.,A-Z Foam (2012) Ltd.,,,Delta,BC,V3M 5P6,Plastics and Rubber,WGS84,49.1738,-122.9321,BC_103,08MH
2021,188,Fonderie générale du Canada,"Fonderie Générale du Canada, XStrata Zinc Canada",,,Lachine,QC,H8S 1A8,Metals (Except Aluminum and Iron and Steel),WGS84,45.4483,-73.6744,NA,210
2021,191,Centerline (Windsor) Ltd.,Electrodes Division,,,Windsor,ON,N9J 3T8,Other Manufacturing,WGS84,42.2522,-83.0997,ON-02GHA02,02GH
1998,192,"Champion Technologies, Ltd",Calgary Plant,6555-30TH STREET SE,,CALGARY,AB,T2C1R4,Other (Except Manufacturing),WGS84,50.9942,-113.9857,AB-04020901,05BM
2013,193,Omega Coatings Ltd.,Omega Coatings Ltd.,711 Derwent Way,,DELTA,BC,V3M5P9,Chemicals,WGS84,49.1774,-122.931,BC_103,08MH
1993,194,Chesebrough-Pond's Canada,,,,,ON,,,WGS84,43.8792,-79.2792,ON-02HC-07,02HC
1997,196,CV MATERIALS (CANADA) LTD.,,30 Wilson Street,,INGERSOLL,ON,N5C3K1,"Cement, Lime and Other Non-Metallic Minerals",WGS84,43.0442,-80.8807,ON-02GD-05,02GD
2021,199,FCA Canada Inc.,Etobicoke Casting Plant,,,Toronto,ON,M8W 3S3,Metals (Except Aluminum and Iron and Steel),WGS84,43.5958,-79.5406,NA,209
2021,201,City of Peterborough,PTBO WASTE WATER TREATMENT PLANT,,,Peterborough,ON,K9J 1B6,Water and Wastewater Systems,WGS84,44.2754,-78.3165,ON-02HJ-02,02HJ
2019,203,City of Thunder Bay,Bare Point Water Treatment Plant,171 Bare Point Road,,THUNDER BAY,ON,P7B5E4,Water and Wastewater Systems,WGS84,48.4758,-89.1514,NA,201
2008,204,CITY OF THUNDER BAY,LOCH LOMOND WATER TREATMENT PLANT,151  RESERVOIR Road,R.R. #4,THUNDER BAY,ON,P7C4Z2,Water and Wastewater Systems,WGS84,48.3308,-89.2692,NA,02AA
2021,205,City of Thunder Bay,Water Pollution Control Plant,,,Thunder Bay,ON,P7C 2T3,Water and Wastewater Systems,WGS84,48.3989,-89.225,ON-02AB-02,02AB
2021,207,Colortech Inc.,COLORTECH INC. BRAMPTON,,,Brampton,ON,L6T 3V1,Plastics and Rubber,WGS84,43.6972,-79.7044,ON-02HC-01,02HC
2021,209,Greenfield Global Inc.,Tiverton ,,,Tiverton,ON,N0G 2T0,Chemicals,WGS84,44.3193,-81.5657,NA,02FD
2021,210,Greenfield Global Inc.,Brampton,,,Brampton,ON,L6T 3Y4,Other (Except Manufacturing),WGS84,43.7375,-79.6931,NA,02HC
2021,211,Ville de Québec,Incinérateur,,,Québec,QC,G1J 3V9,Waste Treatment and Disposal,WGS84,46.828385,-71.220097,NA,02PD
2021,214,Vibac Canada Inc.,Vibac du Canada,,,Montréal,QC,H1B 5M5,Chemicals,WGS84,45.6483,-73.5172,NA,210
2005,215,COURT GALVANIZING LTD,GUELPH PLANT,134  Dawson Road,PO BOX 424,GUELPH,ON,N1H6K5,Other Manufacturing,WGS84,43.5522,-80.284,ON-02GA-09,02GA
2021,216,Triple M Metal LP,Scarborough,,,Toronto,ON,M1L 4M7,Other (Except Manufacturing),WGS84,43.7214,-79.2781,ON-02HC-06,02HC
2021,222,Cytec Canada Inc.,Welland Plant,,,Niagara Falls,ON,L2H 0Y2,Chemicals,WGS84,43.0472,-79.1583,ON-02HA-02,02HA
2021,223,Mercer Peace River Pulp Ltd. ,Mercer Peace River,,,MD of Northern Lights,AB,T8S 1V7,Pulp and Paper,WGS84,56.3772,-117.1756,AB-18010301,07HA
2021,225,Dajcor Aluminum Ltd.,Dajcor Aluminum Ltd.,,,Chatham,ON,N7M 5J5,Aluminum,WGS84,42.3903,-82.2136,ON-02GE-01,02GE
2015,227,Schott Gemtron Corp.,SCHOTT Gemtron (Canada) Corporation,125 Albert Street,,MIDLAND,ON,L4R4L3,"Cement, Lime and Other Non-Metallic Minerals",WGS84,44.734,-79.851,ON-02ED-02,02ED
2008,231,DELHI INDUSTRIES INC,JAMES ST.,523 James St,,DELHI,ON,N4B2Z3,Iron and Steel,WGS84,42.8475,-80.4897,ON-02GC-04,02GC
1995,238,Dimplex North America Ltd.,,1367 INDUSTRIAL RD.,,CAMBRIDGE,ON,N1R7G8,Other Manufacturing,WGS84,43.3944,-80.329,ON-02GA-01,02GA
2021,239,Cascades Canada ULC,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",,,Trenton,ON,K8V 5R8,Pulp and Paper,WGS84,44.1114,-77.5878,ON-02HK-01,02HK
1993,241,Dona Lake Gold Mine Ltd.,,,,,ON,,,WGS84,51.4153,-90.1028,ON-04FAA08,04FA
2015,245,Pactiv Canada Inc.,Brampton Plant,46 Hale Road,,BRAMPTON,ON,L6W3M1,Pulp and Paper,WGS84,43.685,-79.7194,ON-02HC-01,02HC
2021,247,Aya Kitchens & Baths Ltd.,AyA Kitchens & Baths Manufacturing Facility,,,Mississauga,ON,L4X 2Z6,Other Manufacturing,WGS84,43.605,-79.5756,ON-02HC-01,209
2007,249,ASHLAND CANADA,DREW CANADA,525  FINLEY Avenue,,AJAX,ON,L1S2E5,Chemicals,WGS84,43.8347,-79.0279,NA,209
2021,250,Evonik Canada Inc.,Gibbons Site,,,Gibbons,AB,T0A 1N0,Chemicals,WGS84,53.8331,-113.1089,AB-11030101,05EB
2021,252,"Dural, a Division of Multibond Inc",Dural Plant div Multibond.,,,Dorval,QC,H9P 1C9,Chemicals,WGS84,45.4501,-73.7363,NA,210
2011,253,Duro-Kote ltée,Duro-Kote ltée,3020 Le Corbusier,,LAVAL,QC,H7L3W2,Chemicals,WGS84,45.5842,-73.7533,NA,210
2021,254,Duro-Lak inc,Duro-Lak inc,,,Laval,QC,H7L 3W2,Chemicals,WGS84,45.5849,-73.7518,NA,210
2013,255,OMG Belleville Ltd.,OMG BELLEVILLE LIMITED,30 Dussek Street,,BELLEVILLE,ON,K8N5R8,Chemicals,WGS84,44.1806,-77.3692,ON-02HL-01,02HL
2004,256,DUSTBANE PRODUCTS,DUSTBANE PRODUCTS LTD - CHEMICAL DIVISION,25  PICKERING Place,,OTTAWA,ON,K1G5P4,Chemicals,WGS84,45.4179,-75.6503,ON-02LA-01,02LA
2021,257,Lavo,Lavo,,,Montréal,QC,H1C 2J3,Chemicals,WGS84,45.6572,-73.5398,NA,210
2001,259,Dutch Products Inc.,,44 CLAYSON ROAD,,WESTON,ON,M9M2G7,Chemicals,WGS84,43.7195,-79.5237,ON-02HC-02,02HC
2021,264,Ecolab Co.,Mississauga Plant,,,Mississauga,ON,L4W 2X5,Chemicals,WGS84,43.6285,-79.6344,ON-02HC-01,02HC
2021,267,Capital Power Generation Services Inc.,Genesee Thermal Generating Station,,,Warburg,AB,T0C 2T0,Electricity,WGS84,53.344,-114.305,AB-11020101,05DE
2005,269,EPCOR GENERATION,CLOVER BAR THERMAL GENERATING STATION,1515 - 130 Avenue,,EDMONTON,AB,T6S1E3,Electricity,WGS84,53.5873,-113.363,AB-11030101,05EB
2008,271,EMBALLAGES SMURFIT-STONE CANADA,USINE PONTIAC,211 route 301,,PORTAGE-DU-FORT,QC,J0X2T0,Pulp and Paper,WGS84,45.5917,-76.6625,ON-02KC-01,02KC
2000,274,Energetic Metals Incorporated,,3506 Eagle Street,,STEVENSVILLE (FORT ERIE),ON,L0S1S0,Aluminum,WGS84,42.9484,-79.047,ON-02HA-01,02HA
2021,276,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,,,Windsor,ON,N9C 0B7,Iron and Steel,WGS84,42.2605,-83.1002,ON-02GHA02,02GH
2021,279,"Kraft Nordic, s.e.c.","Kraft Nordic, s.e.c. - Usine de pâtes kraft de Lebel-sur-Quévillon",,,Lebel-sur-Quévillon,QC,J0Y 1X0,Pulp and Paper,WGS84,49.0254,-76.9538,NA,03AC
