NPRI_Site_ID,Substance_Name,release_type,Reporting_Year
1,"1,2-Dichloroethane",Sum of release to all media (<1tonne),2015
1,"1,3-Butadiene",Releases to Air,2015
1,3-Methylcholanthrene,Releases to Air,2017
1,"7,12-Dimethylbenz[a]anthracene",Releases to Air,2017
1,Acenaphthene,Releases to Air,2017
1,Acenaphthylene,Releases to Air,2021
1,Acenaphthylene,Releases to Water Bodies,2011
1,Acetaldehyde,Releases to Air,2021
1,Acetaldehyde,Releases to Land,2021
1,Acetaldehyde,Releases to Water Bodies,2020
1,Ammonia (total),Releases to Air,2021
1,Ammonia (total),Releases to Land,2021
1,Ammonia (total),Releases to Water Bodies,2021
1,Anthracene,Releases to Air,2021
1,Arsenic (and its compounds),Releases to Air,2021
1,Arsenic (and its compounds),Releases to Land,2011
1,Arsenic (and its compounds),Releases to Water Bodies,2021
1,Benz[a]anthracene,Releases to Air,2017
1,Benzene,Releases to Air,2021
1,Benzo[a]pyrene,Releases to Air,2017
1,Benzo[b]fluoranthene,Releases to Air,2017
1,Benzo[e]pyrene,Releases to Air,2017
1,Benzo[ghi]perylene,Releases to Air,2017
1,Benzo[j]fluoranthene,Releases to Air,2017
1,Benzo[k]fluoranthene,Releases to Air,2017
1,Cadmium (and its compounds),Releases to Air,2021
1,Cadmium (and its compounds),Releases to Land,2011
1,Cadmium (and its compounds),Releases to Water Bodies,2021
1,Carbon monoxide,Releases to Air,2021
1,Carbonyl sulphide,Releases to Air,2010
1,Catechol,Releases to Land,2021
1,Catechol,Releases to Water Bodies,2021
1,Catechol,Sum of release to all media (<1tonne),2017
1,Chlorine,Releases to Air,2021
1,Chlorine,Sum of release to all media (<1tonne),1997
1,Chlorine dioxide,Releases to Air,2020
1,Chlorobenzene,Sum of release to all media (<1tonne),2015
1,Chloroform,Releases to Air,2019
1,Chloroform,Releases to Water Bodies,2000
1,Chrysene,Releases to Air,2021
1,Chrysene,Releases to Land,2011
1,Cobalt (and its compounds),Releases to Air,2021
1,Cobalt (and its compounds),Releases to Water Bodies,2021
1,"Cresol (all isomers, and their salts)",Releases to Air,2002
1,"Dibenz[a,h]anthracene",Releases to Air,2017
1,Dioxins and furans - total,Releases to Air,2021
1,Dioxins and furans - total,Releases to Land,2011
1,Dioxins and furans - total,Releases to Water Bodies,2011
1,Ethylene glycol,Releases to Water Bodies,2010
1,Fluoranthene,Releases to Air,2021
1,Fluoranthene,Releases to Land,2011
1,Fluoranthene,Releases to Water Bodies,2017
1,Fluorene,Releases to Air,2021
1,Formaldehyde,Releases to Air,2021
1,Formaldehyde,Releases to Land,2020
1,Formaldehyde,Releases to Water Bodies,2021
1,Hexachlorobenzene,Releases to Air,2021
1,Hexavalent chromium (and its compounds),Releases to Air,2017
1,Hexavalent chromium (and its compounds),Releases to Land,2011
1,Hydrochloric acid,Releases to Air,2019
1,Hydrochloric acid,Sum of release to all media (<1tonne),1999
1,Hydrogen sulphide,Releases to Air,2021
1,"Indeno[1,2,3-cd]pyrene",Releases to Air,2017
1,Isopropyl alcohol,Releases to Air,2021
1,Lead (and its compounds),Releases to Air,2021
1,Lead (and its compounds),Releases to Land,2014
1,Lead (and its compounds),Releases to Water Bodies,2021
1,Manganese (and its compounds),Releases to Air,2021
1,Manganese (and its compounds),Releases to Land,2020
1,Manganese (and its compounds),Releases to Water Bodies,2021
1,Mercury (and its compounds),Releases to Air,2021
1,Mercury (and its compounds),Releases to Water Bodies,2021
1,Methanol,Releases to Air,2021
1,Methanol,Releases to Land,2021
