Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
1,42.03204214,-82.83151386,02GH,NA,32.11072056413779,Poor
2,42.03252989,-82.56499711,02GH,NA,19.125797004345714,Poor
3,42.05544151,-82.50461511,02GH,NA,39.57487772643188,Poor
4,42.06681089,-82.46573323,02GH,NA,40.552127805209054,Poor
5,42.08045514,-82.48914098,02GH,NA,27.36971304896265,Poor
6,42.15905964,-83.01879548,02GH,ON-02GHA03,29.41647428476726,Poor
7,42.19263914,-82.51680573,02GE,ON-02GE-08,40.30784225588205,Poor
8,42.24355614,-82.61438286,02GG,ON-02GGB11,37.87956084916861,Poor
9,42.24458189,-83.07082048,02GH,ON-02GHA02,27.311062397887,Poor
10,42.32507451,-82.33001348,02GE,ON-02GE-01,54.417809364987185,Marginal
11,42.35543939,-82.32007686,02GE,ON-02GE-01,38.4509406856352,Poor
12,42.35582826,-82.32051836,02GE,ON-02GE-01,NA,NA
13,42.38328064,-82.09484398,02GE,ON-02GE-02,40.16118503419689,Poor
14,42.51391626,-82.07167161,02GE,ON-02GE-03,40.35964998855698,Poor
15,42.51777839,-81.63326711,02GF,NA,39.956836429127904,Poor
16,42.54024949,-81.96321847,02GE,ON-02GE-03,51.771120624699336,Marginal
17,42.59179026,-82.38763173,02GG,ON-02GGB02,40.20407904193454,Poor
18,42.59179039,-82.38763186,02GG,ON-02GGB02,NA,NA
19,42.59450739,-80.48562086,02GC,ON-02GC-03,NA,NA
20,42.61026751,-80.51489698,02GC,ON-02GC-03,NA,NA
21,42.63064389,-81.77004198,02GE,ON-02GE-04,55.47874195511164,Marginal
22,42.63216426,-81.49352811,02GF,NA,33.688699411608056,Poor
23,42.64895876,-80.80702948,02GC,ON-02GC-06,NA,NA
24,42.65068239,-82.00877086,02GG,ON-02GGB02,61.10326366229734,Marginal
25,42.65337501,-80.54849923,02GC,ON-02GC-03,52.26663405606912,Marginal
26,42.67528676,-80.95296561,02GC,NA,NA,NA
27,42.67557389,-81.03765061,02GC,ON-02GC-08,NA,NA
28,42.68582701,-80.53842473,02GC,ON-02GC-03,40.33462934788626,Poor
29,42.69273176,-81.21758436,02GC,ON-02GC-09,39.13881414266277,Poor
30,42.70747901,-81.19759173,02GC,ON-02GC-09,40.60403422447952,Poor
31,42.71094901,-80.84016061,02GC,ON-02GC-06,49.796677411852336,Marginal
32,42.71793864,-81.66988373,02GE,ON-02GE-05,41.3842556884597,Poor
33,42.73153714,-81.57772073,02GE,ON-02GE-05,39.123945851069735,Poor
34,42.76407739,-82.34158173,02GG,ON-02GGB06,41.22951625681264,Poor
35,42.77555051,-81.04292436,02GC,ON-02GC-08,NA,NA
36,42.77903976,-80.47588386,02GC,ON-02GC-04,39.79935855287344,Poor
37,42.78694901,-82.17194086,02GG,ON-02GGB07,38.8873754955436,Poor
38,42.78717564,-81.26732786,02GC,ON-02GC-09,38.673296641571895,Poor
39,42.79065439,-81.07701198,02GC,ON-02GC-08,NA,NA
40,42.79831676,-80.21357611,02GC,ON-02GC-02,NA,NA
41,42.80632046,-81.8470147,02GG,ON-02GGB05,NA,NA
42,42.80944139,-79.96881148,02GC,NA,NA,NA
43,42.80999326,-80.07650586,02GC,ON-02GC-01,39.7298140164773,Poor
44,42.81367439,-81.17260573,02GC,ON-02GC-09,37.58878564468256,Poor
45,42.81906664,-79.98814786,02GC,NA,NA,NA
46,42.82338026,-80.28892861,02GC,ON-02GC-02,39.497868792113394,Poor
47,42.82378326,-79.99373973,02GC,NA,NA,NA
48,42.82528351,-79.98436336,02GC,NA,NA,NA
49,42.83087764,-81.85140986,02GG,ON-02GGB05,49.692647191995995,Marginal
50,42.83520639,-80.36721761,02GC,ON-02GC-02,42.01820518898551,Poor
51,42.85389851,-80.50353248,02GC,ON-02GC-04,NA,NA
52,42.86419764,-82.16923398,02GG,ON-02GGB06,39.51674969806376,Poor
53,42.90026526,-79.61984636,02GB,ON-02GB-01,35.21140161052851,Poor
54,42.90527544,-81.27149592,02GE,ON-02GE-09,NA,NA
55,42.91242614,-82.45154536,02GG,ON-02GGA01,NA,NA
56,42.91414551,-81.31366036,02GE,ON-02GE-09,35.53439792293496,Poor
57,42.93126914,-81.66791098,02GG,ON-02GGB09,48.06527985398963,Marginal
58,42.93289214,-80.66202373,02GC,ON-02GC-07,39.031474112509066,Poor
59,42.93474951,-81.42151298,02GE,ON-02GE-07,35.47061454997507,Poor
60,42.93796101,-81.44090948,02GE,ON-02GE-07,42.18642329673688,Poor
61,42.96305914,-81.40696673,02GE,ON-02GE-07,NA,NA
62,42.96335064,-79.02196436,02HA,ON-02HA-01,70.92477992680634,Fair
63,42.96592451,-80.54252573,02GC,ON-02GC-07,38.56897488766844,Poor
64,42.96867226,-81.15017261,02GD,ON-02GD-03,NA,NA
65,42.97203639,-79.31766686,02HA,ON-02HA-02,42.081709753261364,Poor
66,42.97333726,-80.95212698,02GD,ON-02GD-05,NA,NA
67,42.97574489,-81.05508961,02GD,ON-02GD-03,NA,NA
68,42.97589126,-81.59343411,02GG,ON-02GGB09,39.45117575859299,Poor
69,42.98062532,-79.5623277,02HA,ON-02HA-02,55.39943370892523,Marginal
70,42.98725914,-80.44485811,02GC,ON-02GC-05,40.46353284122251,Poor
71,42.98867889,-80.95678548,02GD,ON-02GD-05,NA,NA
72,42.99450364,-81.11663423,02GD,ON-02GD-03,NA,NA
73,43.01356621,-81.27997014,02GD,ON-02GD-01,NA,NA
74,43.01864126,-80.92690923,02GD,ON-02GD-05,NA,NA
75,43.01985176,-79.99975111,02GB,ON-02GB-07,NA,NA
76,43.02132544,-79.61770976,02HA,ON-02HA-02,55.82493483773424,Marginal
77,43.02192501,-79.94893423,02GB,ON-02GB-07,48.046153106399274,Marginal
78,43.02192951,-79.89199848,02GB,ON-02GB-02,45.347014720700244,Marginal
79,43.02232064,-81.25200786,02GD,ON-02GD-01,NA,NA
80,43.02365039,-79.91485911,02GB,ON-02GB-06,52.39101489713222,Marginal
81,43.02862239,-79.21112836,02HA,ON-02HA-02,41.29606339124594,Poor
82,43.03141939,-80.99848748,02GD,ON-02GD-08,37.60013839974838,Poor
83,43.03394364,-79.95006048,02GB,ON-02GB-06,47.00793115251741,Marginal
84,43.04171664,-81.18229186,02GD,ON-02GD-02,NA,NA
85,43.04192389,-81.19470748,02GD,ON-02GD-01,NA,NA
86,43.04337426,-80.81909398,02GD,ON-02GD-06,NA,NA
87,43.04628726,-79.12305311,02HA,ON-02HA-02,NA,NA
88,43.06689576,-81.68054298,02FF,ON-02FF-03,NA,NA
89,43.06899897,-81.00099601,02GD,ON-02GD-08,NA,NA
90,43.06936101,-80.73438323,02GD,ON-02GD-06,NA,NA
91,43.06949739,-81.15827111,02GD,ON-02GD-02,NA,NA
92,43.07236764,-81.66025798,02FF,ON-02FF-03,49.33024699693375,Marginal
93,43.07876689,-79.51261461,02HA,ON-029A-01,NA,NA
94,43.08730964,-79.29167323,02HA,ON-02HA-03,41.63584893304037,Poor
95,43.08750789,-79.29199661,02HA,ON-02HA-03,53.341022682091364,Marginal
96,43.09604739,-80.03048623,02GB,ON-02GB-08,51.65726712316658,Marginal
97,43.09624414,-81.16853661,02GD,ON-02GD-02,NA,NA
98,43.09956539,-80.24046036,02GB,ON-02GB-03,59.51036361547154,Marginal
99,43.10974339,-80.24491061,02GB,ON-02GB-03,46.61391300579148,Marginal
100,43.11499764,-79.27483361,02HA,ON-02HA-03,41.472922870714875,Poor
101,43.11560596,-79.56650923,02HA,ON-029A-01,56.15602981573614,Marginal
102,43.12609589,-80.38370323,02GB,ON-02GB-04,48.924508791727575,Marginal
103,43.12633764,-80.77928186,02GD,ON-02GD-06,35.849417588590796,Poor
104,43.12741876,-80.77084186,02GD,ON-02GD-06,38.254656045486115,Poor
105,43.13345214,-79.25094861,02HA,ON-02HA-03,76.83113792484589,Fair
106,43.13348326,-79.38363582,02HA,ON-029A-01,68.3313589928267,Fair
107,43.14481876,-80.76696536,02GD,ON-02GD-06,NA,NA
108,43.14789951,-79.22257498,02HA,ON-02HA-03,53.23672860163936,Marginal
109,43.14896826,-80.17155086,02GB,ON-02GB-05,34.88324492125186,Poor
110,43.15201751,-79.37448548,02HA,ON-029A-01,51.99345714558491,Marginal
111,43.16011901,-79.26031873,02HA,ON-02HA-03,65.21773177711543,Fair
112,43.16391371,-81.63167591,02FF,ON-02FF-08,74.8032675849589,Fair
113,43.16653189,-81.18986186,02GD,ON-02GD-02,NA,NA
114,43.18090601,-81.44766011,02FF,ON-02FF-05,39.20885998726626,Poor
115,43.18501314,-81.72901586,02FF,ON-02FF-08,38.302517377661175,Poor
116,43.18532864,-81.85668398,02FF,ON-02FF-01,38.27788239086265,Poor
117,43.19220801,-80.38291848,02GA,ON-02GA-05,48.85083643932432,Marginal
118,43.19331251,-81.81385686,02FF,ON-02FF-01,49.58161904882709,Marginal
119,43.20004851,-79.55697698,02HA,NA,55.12884335808202,Marginal
120,43.20034451,-79.82013348,02HB,ON-02HB-01,35.74195922588255,Poor
121,43.20139039,-79.26580248,02HA,ON-02HA-03,42.09959370042125,Poor
122,43.21543364,-80.69161523,02GD,ON-02GD-09,NA,NA
123,43.21670701,-79.21235823,02HA,ON-02HA-03,65.21007375765491,Fair
124,43.21698353,-81.21962851,02GD,ON-02GD-12,NA,NA
125,43.22063426,-81.23680886,02GD,ON-02GD-12,NA,NA
126,43.22507314,-79.75125473,02HA,NA,40.28931834021031,Poor
127,43.23087339,-80.24248148,02GB,ON-02GB-05,42.67373433097309,Poor
128,43.23246039,-79.78474873,02HB,ON-02HB-01,39.089557335273845,Poor
129,43.23744164,-81.77378486,02FF,ON-02FF-06,NA,NA
130,43.23914339,-81.17016261,02GD,ON-02GD-02,NA,NA
131,43.25235764,-80.98515886,02GD,ON-02GD-10,NA,NA
132,43.25323889,-79.12593486,02HA,NA,55.717529307533844,Marginal
133,43.26519314,-79.96422961,02HB,ON-02HB-01,40.62583502998629,Poor
134,43.26643989,-81.08411186,02GD,ON-02GD-10,38.52488051565129,Poor
135,43.27485814,-80.47478311,02GA,ON-02GA-05,52.91725712846392,Marginal
136,43.27880964,-81.16672448,02GD,ON-02GD-04,NA,NA
137,43.27897714,-80.34338873,02GA,ON-02GA-01,35.396198133500064,Poor
138,43.28300414,-80.05308886,02HB,ON-02HB-01,51.85487888993973,Marginal
139,43.28490076,-81.17250548,02GD,ON-02GD-04,NA,NA
140,43.28712501,-81.16860411,02GD,ON-02GD-04,NA,NA
141,43.30128051,-79.86886936,02HB,ON-02HB-01,39.51697543822221,Poor
142,43.30582189,-80.84909448,02GD,ON-02GD-09,NA,NA
143,43.30697039,-79.86835111,02HB,ON-02HB-01,12.686710159623729,Poor
144,43.34349726,-80.53113461,02GA,ON-02GA-06,45.74602145208017,Marginal
145,43.35303464,-80.07794948,02HB,ON-02HB-01,41.07798174502007,Poor
