,comments,useanalysi,cabd_id,fallnameen,municipali,completele,passabilit,waterbodyn,waterbody1,completel1,lastmodifi,passabili1,fallheight,datasource,featuretyp,provincete,provincet1,fallnamefr,PRPWSHID,NHN4DWSH,Longitude,Latitude
1,NA,1,24961de6-b131-471e-8b7e-ba6993134381,NA,Vaughan,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/24961de6-b131-471e-8b7e-ba6993134381,waterfalls,on,Ontario,NA,ON-02HC-02,02HC,-79.59607323,43.7924238
2,NA,1,a9e84ac0-85e5-4c17-829d-e2d9c438e04d,NA,Huntsville,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a9e84ac0-85e5-4c17-829d-e2d9c438e04d,waterfalls,on,Ontario,NA,ON-02EB-08,02EB,-79.44236617,45.37706286
3,NA,1,01064709-6d80-4738-9e09-c84b1a466777,NA,"Region 2, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/01064709-6d80-4738-9e09-c84b1a466777,waterfalls,nt,Northwest Territories,NA,NA,10KB,-127.2226793,64.62515765
4,NA,1,759e1f3a-cf31-4a70-8816-a9f540b6aeb6,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/759e1f3a-cf31-4a70-8816-a9f540b6aeb6,waterfalls,sk,Saskatchewan,NA,NA,06CE,-105.8092732,56.01309123
5,NA,1,7d1b070e-41a3-4829-9517-919b7724af6a,NA,"Kenora, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7d1b070e-41a3-4829-9517-919b7724af6a,waterfalls,on,Ontario,NA,ON-04AC-02,04AC,-93.63079358,53.73970538
6,NA,1,f2d49dfa-7218-4cb4-bff5-011a4e72b6ca,NA,Kugluktuk,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f2d49dfa-7218-4cb4-bff5-011a4e72b6ca,waterfalls,nu,Nunavut,NA,NA,10PC,-115.3728979,67.73922404
7,NA,1,948efdf6-8da9-4584-a1ab-35992f904c1e,NA,"Division No. 19, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/948efdf6-8da9-4584-a1ab-35992f904c1e,waterfalls,mb,Manitoba,NA,NA,05RA,-95.68047091,50.93913577
8,NA,1,fb8d6683-4fc9-4b12-a068-c6631721bc7f,NA,Northern Rockies,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/fb8d6683-4fc9-4b12-a068-c6631721bc7f,waterfalls,bc,British Columbia,NA,BC_45,10DB,-123.9475819,59.88482971
9,NA,1,5e6e2449-8fd8-41db-801c-6aed9596813d,NA,"Division No. 19, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5e6e2449-8fd8-41db-801c-6aed9596813d,waterfalls,mb,Manitoba,NA,NA,05RD,-95.65722722,52.10294334
10,NA,1,31efe8d5-7c87-400a-a3f0-bfe44e83d4dd,NA,"Yukon, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/31efe8d5-7c87-400a-a3f0-bfe44e83d4dd,waterfalls,yt,Yukon,NA,NA,10AA,-130.8288821,60.07767209
11,NA,1,9efd25b4-36d2-453d-a853-a299a2a8190d,NA,"Yukon, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/9efd25b4-36d2-453d-a853-a299a2a8190d,waterfalls,yt,Yukon,NA,NA,09AC,-135.9687644,60.4292001
12,NA,1,6eda1aba-b11b-4e4b-b42f-a6a233a54cd7,NA,NA,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/6eda1aba-b11b-4e4b-b42f-a6a233a54cd7,waterfalls,us,United States,NA,NA,09MA,-142.4557325,60.73755847
13,NA,1,c137723f-032a-4630-91f5-1e8538fd8c73,NA,Northern Rockies,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/c137723f-032a-4630-91f5-1e8538fd8c73,waterfalls,bc,British Columbia,NA,BC_45,10DB,-123.9112161,59.91284552
14,NA,1,c8e172b7-b831-4bd9-a841-5e3eb04d9e6e,NA,"Division No. 19, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/c8e172b7-b831-4bd9-a841-5e3eb04d9e6e,waterfalls,mb,Manitoba,NA,NA,05RA,-95.45395124,51.04805268
15,NA,1,cc3dde5a-1ae9-4f9b-8960-fd513efea0d7,Etomami Falls,"Division No. 19, Unorganized",2,Unknown,NA,NA,Minimal,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/cc3dde5a-1ae9-4f9b-8960-fd513efea0d7,waterfalls,mb,Manitoba,NA,NA,05RD,-96.13147699,52.21199238
16,NA,1,985b5b85-c115-4b04-a82f-e8c98704d4b2,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/985b5b85-c115-4b04-a82f-e8c98704d4b2,waterfalls,nu,Nunavut,NA,NA,06TA,-68.19788694,62.56538928
17,NA,1,480f00dc-fcf2-4d30-89bd-a8fec3cd2bd4,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/480f00dc-fcf2-4d30-89bd-a8fec3cd2bd4,waterfalls,nu,Nunavut,NA,NA,06TA,-75.99151909,64.58704129
18,NA,1,0fdbca55-f865-4a12-aadb-38e3bf9ab12e,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0fdbca55-f865-4a12-aadb-38e3bf9ab12e,waterfalls,sk,Saskatchewan,NA,NA,07LEA,-107.3999873,59.14949432
19,NA,1,f6a316a6-2107-422f-977f-2876115f2b79,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f6a316a6-2107-422f-977f-2876115f2b79,waterfalls,nu,Nunavut,NA,NA,06SB,-76.17424387,70.35173752
20,NA,1,7a857aec-3b90-446f-a685-44c085ba81cb,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7a857aec-3b90-446f-a685-44c085ba81cb,waterfalls,nu,Nunavut,NA,NA,06SB,-76.3005188,70.26387451
21,NA,1,02bdb3c6-459f-46a0-bbc8-30bde202bf86,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/02bdb3c6-459f-46a0-bbc8-30bde202bf86,waterfalls,sk,Saskatchewan,NA,NA,06CD,-104.7589768,55.66456116
22,NA,1,117d3fa1-3f11-4d81-999d-508da3213aed,NA,"Division No. 21, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/117d3fa1-3f11-4d81-999d-508da3213aed,waterfalls,mb,Manitoba,NA,NA,06EA,-100.9815836,55.25278964
23,NA,1,5aad21d1-fc3b-4738-acdb-1f3e864a6b32,NA,"Division No. 21, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5aad21d1-fc3b-4738-acdb-1f3e864a6b32,waterfalls,mb,Manitoba,NA,NA,06EA,-100.9179824,55.50163577
24,NA,1,5d0f8643-50bf-42a0-a356-c35bddb450d2,NA,"Division No. 21, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5d0f8643-50bf-42a0-a356-c35bddb450d2,waterfalls,mb,Manitoba,NA,NA,06EA,-100.8374721,55.41981807
25,NA,1,1b083369-0f04-4a7a-99a1-b227bdd7fef4,NA,"Division No. 21, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1b083369-0f04-4a7a-99a1-b227bdd7fef4,waterfalls,mb,Manitoba,NA,NA,05TE,-100.6875724,55.26364518
26,NA,1,10bd669a-a33a-480b-a10c-19355d8884a2,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/10bd669a-a33a-480b-a10c-19355d8884a2,waterfalls,mb,Manitoba,NA,NA,06EB,-101.0258127,57.66579713
27,NA,1,1ad8681e-afae-4e67-95ee-47b5f753b464,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1ad8681e-afae-4e67-95ee-47b5f753b464,waterfalls,nu,Nunavut,NA,NA,10VD,-89.33117581,74.77043054
28,NA,1,a495b8b0-4cfb-436d-9f4e-3fb84b110fbc,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a495b8b0-4cfb-436d-9f4e-3fb84b110fbc,waterfalls,nu,Nunavut,NA,NA,10SE,-85.35657711,69.63119643
29,NA,1,168fa1ae-6466-4d3f-841a-bf5e101ddf97,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/168fa1ae-6466-4d3f-841a-bf5e101ddf97,waterfalls,nu,Nunavut,NA,NA,06RC,-83.66986559,69.33847796
30,NA,1,dd131072-0d65-4c3a-9545-10a34874e645,NA,"Region 6, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/dd131072-0d65-4c3a-9545-10a34874e645,waterfalls,nt,Northwest Territories,NA,NA,07RD,-108.6205963,62.88694521
31,NA,1,af1cf142-1fae-460a-a687-e3a56dedd923,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/af1cf142-1fae-460a-a687-e3a56dedd923,waterfalls,nu,Nunavut,NA,NA,06OB,-88.4781919,65.99180651
32,NA,1,eb87451f-761a-428c-8384-4efe9819d21b,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/eb87451f-761a-428c-8384-4efe9819d21b,waterfalls,nu,Nunavut,NA,NA,06NA,-95.84235664,62.15789033
33,NA,1,73fd9112-a820-491f-8716-0caeb39e3dcb,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/73fd9112-a820-491f-8716-0caeb39e3dcb,waterfalls,nu,Nunavut,NA,NA,06LC,-95.84184871,63.71449572
34,NA,1,d4f7d355-1db7-4ee5-8882-0fb6b74a8c9c,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d4f7d355-1db7-4ee5-8882-0fb6b74a8c9c,waterfalls,sk,Saskatchewan,NA,NA,06CD,-103.8489839,55.68153348
35,NA,1,9c23ebf1-4793-464c-a7fc-6b81ab59ea9b,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/9c23ebf1-4793-464c-a7fc-6b81ab59ea9b,waterfalls,sk,Saskatchewan,NA,NA,06CD,-103.9540448,55.51757555
36,NA,1,1a8f0307-045e-408a-9c90-59072c3cc709,NA,Les Escoumins,0,Unknown,NA,NA,NA,9/22/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1a8f0307-045e-408a-9c90-59072c3cc709,waterfalls,qc,Quebec,NA,NA,02SC,-69.47292787,48.37116792
37,NA,1,6e792725-4c07-4223-83c7-230e967cbbbf,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/6e792725-4c07-4223-83c7-230e967cbbbf,waterfalls,sk,Saskatchewan,NA,NA,06DB,-103.0413173,56.58553013
38,NA,1,e90214f3-7f1a-41bd-b4bd-662c776efd7d,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/e90214f3-7f1a-41bd-b4bd-662c776efd7d,waterfalls,sk,Saskatchewan,NA,NA,07LEA,-106.712352,59.38396528
39,NA,1,948bad21-39fc-463b-8e40-647037ac4f17,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/948bad21-39fc-463b-8e40-647037ac4f17,waterfalls,sk,Saskatchewan,NA,NA,07MC,-107.7634915,59.59680377
40,NA,1,957c91ee-7ccc-4487-a480-ab63c3f0d40e,NA,"Division No. 18, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/957c91ee-7ccc-4487-a480-ab63c3f0d40e,waterfalls,sk,Saskatchewan,NA,NA,07MC,-107.7685891,59.58797977
41,NA,1,8dd45000-dbac-4009-b7da-908e3ed63e0b,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/8dd45000-dbac-4009-b7da-908e3ed63e0b,waterfalls,nu,Nunavut,NA,NA,06RB,-81.37964134,67.319653
42,NA,1,e139985b-49b9-4699-814d-cfc64813e533,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/e139985b-49b9-4699-814d-cfc64813e533,waterfalls,nu,Nunavut,NA,NA,10RB,-98.61894646,65.91697644
43,NA,1,c43921e7-78f0-4eec-adf2-d73a33d1ddae,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/c43921e7-78f0-4eec-adf2-d73a33d1ddae,waterfalls,nu,Nunavut,NA,NA,10RB,-99.13818398,66.03448734
44,NA,1,0ba4912c-d4e3-4769-addc-0e3d65b13638,NA,"Kivalliq, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0ba4912c-d4e3-4769-addc-0e3d65b13638,waterfalls,nu,Nunavut,NA,NA,06LC,-95.84178944,63.71208544
45,NA,1,44ea400e-ec90-4cfb-bffe-1114239dbbe8,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/44ea400e-ec90-4cfb-bffe-1114239dbbe8,waterfalls,nu,Nunavut,NA,NA,10TM,-93.86546456,74.0617615
46,NA,1,18590239-7dbe-4f85-aedf-89ab8d285d16,Qurluqtuq Falls,"Kitikmeot, Unorganized",2,Unknown,NA,NA,Minimal,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/18590239-7dbe-4f85-aedf-89ab8d285d16,waterfalls,nu,Nunavut,NA,NA,10SD,-90.73087672,68.24691774
47,NA,1,6ed68ef2-599c-4c05-b061-f1117b1edb45,NA,"Qikiqtaaluk, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/6ed68ef2-599c-4c05-b061-f1117b1edb45,waterfalls,nu,Nunavut,NA,NA,10UH,-66.23884021,62.08321046
48,NA,1,604f29d4-0168-4c14-be0b-74a30bebb351,NA,Northern Rockies,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/604f29d4-0168-4c14-be0b-74a30bebb351,waterfalls,bc,British Columbia,NA,BC_45,10DB,-123.9713266,59.8628055
49,NA,1,56b8c5a5-a78a-4479-9cd2-0c734d76296f,NA,"Yukon, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/56b8c5a5-a78a-4479-9cd2-0c734d76296f,waterfalls,yt,Yukon,NA,NA,09BB,-132.9821849,62.91369224
50,NA,1,909e9508-d63f-4b43-9718-5af1c460cd8a,NA,"Yukon, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/909e9508-d63f-4b43-9718-5af1c460cd8a,waterfalls,yt,Yukon,NA,NA,09BB,-132.9730843,62.91624474
51,NA,1,f1706bc0-08b6-4845-b617-95db4df62254,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f1706bc0-08b6-4845-b617-95db4df62254,waterfalls,mb,Manitoba,NA,NA,05UG,-95.00616479,56.59322687
52,NA,1,7c5aa21a-07f0-43e9-bb6e-24cc16d4fae4,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7c5aa21a-07f0-43e9-bb6e-24cc16d4fae4,waterfalls,mb,Manitoba,NA,NA,06EA,-101.2170916,55.70249603
53,NA,1,33171006-84a2-47c4-b48a-8744b92bd595,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/33171006-84a2-47c4-b48a-8744b92bd595,waterfalls,mb,Manitoba,NA,NA,06EA,-101.2207719,55.70602779
54,NA,1,943a4472-c050-4260-b5df-59bd0dfb27e5,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/943a4472-c050-4260-b5df-59bd0dfb27e5,waterfalls,mb,Manitoba,NA,NA,06EA,-101.2182221,55.70486429
55,NA,1,8f741d53-68c3-4378-9067-c1f13b00756c,NA,Snow Lake,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/8f741d53-68c3-4378-9067-c1f13b00756c,waterfalls,mb,Manitoba,NA,NA,05TA,-99.97207656,54.78855569
56,NA,1,83dad4f0-6a69-459c-a638-3f5156fa8252,NA,Snow Lake,1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/83dad4f0-6a69-459c-a638-3f5156fa8252,waterfalls,mb,Manitoba,NA,NA,05TA,-99.97075834,54.78740457
57,NA,1,5f0cf920-bec3-4195-a5ed-b78ab5a35668,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5f0cf920-bec3-4195-a5ed-b78ab5a35668,waterfalls,mb,Manitoba,NA,NA,04AF,-95.37288292,55.46972424
58,NA,1,ddf51a8d-7eb0-46e6-b544-d0e0f2337987,NA,"Division No. 23, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ddf51a8d-7eb0-46e6-b544-d0e0f2337987,waterfalls,mb,Manitoba,NA,NA,04AF,-94.18812908,55.73250928
59,NA,1,fe7df6c9-7fe1-483e-a114-5a619943cd69,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/fe7df6c9-7fe1-483e-a114-5a619943cd69,waterfalls,mb,Manitoba,NA,NA,04AA,-95.12860858,54.85696956
60,NA,1,4a2befe4-9cda-4703-bcd4-4c5f0f0949be,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4a2befe4-9cda-4703-bcd4-4c5f0f0949be,waterfalls,mb,Manitoba,NA,NA,05UB,-97.59616138,54.33141579
61,NA,1,b0fe112c-3ea6-4847-9185-b0997e1f5c09,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b0fe112c-3ea6-4847-9185-b0997e1f5c09,waterfalls,mb,Manitoba,NA,NA,05UB,-97.58379872,54.33871329
62,NA,1,7d87f378-dd04-4071-a06c-18fb83750ebb,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7d87f378-dd04-4071-a06c-18fb83750ebb,waterfalls,mb,Manitoba,NA,NA,05UB,-97.6095162,54.33082833
63,NA,1,d56d18aa-2625-40d9-81a8-8ad25f0d6f2b,NA,"Division No. 22, Unorganized",1,Unknown,NA,NA,Unverified,6/29/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d56d18aa-2625-40d9-81a8-8ad25f0d6f2b,waterfalls,mb,Manitoba,NA,NA,05UB,-97.60856321,54.32913124
