useirrigat,downpassag,catchmenta,waterbodyn,reservoirn,reservoir1,operatingn,waterbody1,maintenanc,constructi,completele,use_supply,userecreat,usepolluti,use_other,usenavigat,useirriga1,useinvasiv,usefloodco,usesupplyc,useotherco,functionco,lakecontro,spillwayty,turbinetyp,dam_use,datasource,featuretyp,downpassa1,lakecontr1,municipali,functionna,operatings,cabd_id,passabilit,facilityna,facilityn1,uppassaget,provincete,passabili1,operating1,ownershipt,usefloodc1,damconditi,ownership1,provincet1,federalcom,provincial,assesssche,expectedli,maintenan1,spillwayca,reservoirp,reservoird,avgrateofd,size_class,degreeofre,length_m,hydropeaki,passabili2,generating,turbinenum,upstreamli,reservoira,storagecap,provincia1,construct1,useelectri,userecrea1,usenaviga1,usefishcod,usepollut1,useinvasi1,sizeclassc,height_m,construct2,owner,federalflo,comments,completel1,use_code,nhnwaters1,lastmodifi,removedyea,useanalysi,conditionc,use_fish,useelectr1,uppassage1,turbinety1,spillwayt1,damnameen,damnamefr,PRPWSHID,NHN4DWSH,Longitude,Latitude
0,0,0,NA,NA,NA,NA,Meziadin River,NA,9,Unverified,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,Unknown,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4fe9d452-1dfc-476b-bdc1-d44c4005c9f9,dams,NA,NA,Kitimat-Stikine A,Unknown,Unknown,4fe9d452-1dfc-476b-bdc1-d44c4005c9f9,Partial Barrier,NA,NA,6,bc,2,5,7,0,NA,Unknown,British Columbia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Unknown,0,0,0,0,0,0,4,0,0,NA,0,NA,1,11,Upper Nass,6/30/2022,0,1,0,NA,NA,Vertical slot,NA,NA,NA,NA,BC_81,08DA,-129.1537094,56.02243363
0,0,0,NA,NA,NA,NA,Meziadin River,NA,9,Unverified,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,Unknown,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/619e2c1e-c84b-468c-8d45-271d8950add1,dams,NA,NA,Kitimat-Stikine A,Unknown,Unknown,619e2c1e-c84b-468c-8d45-271d8950add1,Barrier,NA,NA,0,bc,1,5,7,0,NA,Unknown,British Columbia,NA,NA,NA,0,NA,0,0,0,0,Small,0,0,0,NA,0,0,0,0,0,0,Unknown,0,0,0,0,0,0,1,2,0,NA,0,NA,1,11,Upper Nass,6/30/2022,0,1,0,NA,NA,NA,NA,NA,NA,NA,BC_81,08DA,-129.1510926,56.02224208
0,0,0,NA,NA,NA,NA,NA,NA,3,Minimal,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,5,Hydroelectricity,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/c9a598ee-dfdd-4a1d-9231-d1fa87d60562,dams,NA,NA,"Division No.  1, Subd. U",Unknown,Active,c9a598ee-dfdd-4a1d-9231-d1fa87d60562,Barrier,TCV/ROP Hydroelectric Generating Facility,NA,0,nl,1,2,4,0,NA,Private,Newfoundland and Labrador,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Earth,1,0,0,0,0,0,4,0,0,Newfoundland Power Inc.,0,NA,2,2,Eastern Coast Newfoundland,7/29/2022,0,0,0,NA,Main,NA,Unknown,NA,Cluney's Canal Embankment,NA,NA,02ZM,-53.01598093,47.19341645
0,0,0,NA,NA,NA,NA,Rundle Canal,NA,3,Minimal,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,5,Hydroelectricity,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/e03ae881-6b0c-447a-8de8-bc4c2326b338,dams,NA,NA,Canmore,Unknown,Unknown,e03ae881-6b0c-447a-8de8-bc4c2326b338,Barrier,Spray System (Bow River Electric System),NA,0,ab,1,5,4,0,NA,Private,Alberta,NA,Alberta Environment and Parks,NA,0,NA,0,1,0,0,Medium,0,2195,0,NA,0,0,0,0,0.95,0,Earth,1,0,0,0,0,0,2,13.7,1951,TransAlta,0,NA,2,2,Upper Bow - Policeman,8/4/2022,0,1,0,NA,Main,NA,Unknown,NA,Rundle Canal Dyke,NA,AB-04020401,05BE,-115.3951758,51.07617168
0,0,0,NA,NA,NA,NA,Ten Mile Stream,NA,9,Minimal,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,5,Hydroelectricity,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4c468766-d743-48f6-84be-ddfe0649803d,dams,NA,NA,Halifax,Storage,Decommissioned/Removed,4c468766-d743-48f6-84be-ddfe0649803d,Passable,Sheet Harbour Hydroelectric System,NA,3,ns,3,3,4,0,NA,Private,Nova Scotia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Unknown,1,0,0,0,0,0,4,0,1923,Nova Scotia Power Inc.,0,water supply - hydroelectric,2,2,East and West River Sheet Harbour,8/24/2022,0,0,0,NA,Main,Pool and weir,Unknown,NA,Ten Mile Lake Main Dam,NA,NA,01EM,-62.69871878,45.12659402
0,0,0,NA,NA,NA,NA,West Moose River,NA,9,Unverified,NA,Main,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,Recreation,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a48be45a-6eed-46db-aaf1-b3648c19fa8b,dams,NA,NA,"Annapolis, Subd. A",Unknown,Decommissioned/Removed,a48be45a-6eed-46db-aaf1-b3648c19fa8b,Passable,NA,NA,6,ns,3,3,7,0,NA,Unknown,Nova Scotia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Unknown,0,1,0,0,0,0,4,0,0,NA,0,Non consumptive - aquatic recreation enhancement,1,5,Sissiboo,8/24/2022,0,0,0,NA,NA,Vertical slot,NA,NA,Clementsport Community Park Dam (Moose River Dam),NA,NA,01DB,-65.59054771,44.65543523
0,0,0,NA,NA,NA,NA,NA,NA,4,Minimal,Main,NA,NA,Secondary,NA,NA,NA,NA,1,3,13,0,0,0,Water supply,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4914faad-3b7e-49bd-9754-f3f7201e5557,dams,NA,NA,St. Anthony,Unknown,Decommissioned/Removed,4914faad-3b7e-49bd-9754-f3f7201e5557,Passable,St. Anthony (Grenfell) Old Water Supply,NA,0,nl,3,3,3,0,NA,Municipal,Newfoundland and Labrador,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Gravity,0,0,0,0,0,0,4,0,0,Town Of St. Anthony,0,NA,2,3,Hare Bay,8/24/2022,0,0,0,NA,NA,NA,NA,NA,Mission Dam,NA,NA,02YB,-55.59675935,51.36366372
0,0,0,NA,NA,NA,NA,Big Uniacke Lake,NA,9,Minimal,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,5,Hydroelectricity,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/b1559c1a-003c-4084-8e32-18397a826587,dams,NA,NA,Digby,Storage,Decommissioned/Removed,b1559c1a-003c-4084-8e32-18397a826587,Passable,Sissiboo Hydroelectric System,NA,0,ns,3,3,4,0,NA,Private,Nova Scotia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,96.011,0,NA,0,0,0,0,0,0,Unknown,1,0,0,0,0,0,4,0,0,Nova Scotia Power Inc.,0,water supply - hydroelectric,2,2,Sissiboo,8/24/2022,0,0,0,NA,Main,NA,Unknown,NA,Big Uniacke Lake Dam,NA,NA,01DB,-65.71233069,44.41488456
0,0,0,NA,NA,NA,NA,Crocker Brook,NA,9,Unverified,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,Unknown,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/20146767-5b9c-4d05-914b-6c7771dd4049,dams,NA,NA,"Kings, Subd. B",Unknown,Decommissioned/Removed,20146767-5b9c-4d05-914b-6c7771dd4049,Passable,NA,NA,0,ns,3,3,7,0,NA,Unknown,Nova Scotia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Unknown,0,0,0,0,0,0,4,0,0,NA,0,N/A,1,11,Gaspereau,8/24/2022,0,0,0,NA,NA,NA,NA,NA,Lakewood Road Dam,NA,NA,01DD,-64.54526509,45.10994689
0,0,0,NA,NA,NA,NA,North Canoe Lake,NA,9,Unverified,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,Unknown,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ceeb2396-0dbc-4dff-8e0c-31d1ed8cbe3e,dams,NA,NA,West Hants,Unknown,Decommissioned/Removed,ceeb2396-0dbc-4dff-8e0c-31d1ed8cbe3e,Passable,NA,NA,0,ns,3,3,7,0,NA,Unknown,Nova Scotia,NA,NA,NA,0,NA,0,0,0,0,Unknown,0,0,0,NA,0,0,0,0,0,0,Unknown,0,0,0,0,0,0,4,0,0,NA,0,N/A,1,11,Avon,8/24/2022,0,0,0,NA,NA,NA,NA,NA,North Canoe Lake Weir,NA,NA,01DE,-64.31684728,44.81776028
