gradient,modificati,modificat1,modified,monitoring,municipali,natureofev,entrancelo,provincete,fishpassty,operatingn,operatedby,architect,constructe,length_m,contracted,depth_m,designedon,elevationm,engineerin,estimateof,estimateo1,fishwayref,hasevaluat,knownnotus,maxfishway,meanfishwa,entrancepo,completele,operationp,plansheldb,purpose,rivernamee,rivernamef,completel1,cabd_id,dam_id,known_use,datasource,featuretyp,waterbodyn,waterbody1,yearconstr,entrancep1,entrancel1,provincet1,fishpasst1,structuren,structure1,PRPWSHID,NHN4DWSH,Longitude,Latitude
0,NA,0,0,NA,Thompson-Nicola M (Beautiful Nicola Valley - North),NA,0,bc,9,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,af69800a-dd63-4a26-94bc-e1dd7c75df5c,564a572b-1de0-4ab0-9d78-51968e7be8a1,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/af69800a-dd63-4a26-94bc-e1dd7c75df5c,fishways,Nicola Lake,NA,0,NA,NA,British Columbia,Unknown,Nicola Lake Dam Fishway,NA,BC_113,08LG,-120.6654738,50.16293534
0,Improve passage over falls,1966,1,Personnel monitoring,Kitimat-Stikine A,"Spaghetti tags, Radio Telemetry",0,bc,6,Meziadin Fishway,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,1,NA,0,0,0,0,JulSep,NA,Pass fish over falls,Meziadin River,NA,NA,ef0f8c9e-52e3-47ba-8bd6-4ed0456fd2f3,4fe9d452-1dfc-476b-bdc1-d44c4005c9f9,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ef0f8c9e-52e3-47ba-8bd6-4ed0456fd2f3,fishways,NA,NA,1966,NA,NA,British Columbia,Vertical slot,Victoria Falls,NA,BC_81,08DA,-129.1537743,56.02250831
0,NA,0,0,NA,Lacombe County,NA,0,ab,1,NA,NA,NA,NA,0,NA,0,1,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,To pass Esox lucius,Parlby Creek,NA,NA,015b98b9-b47a-4cf2-80ec-cd6f7954cbc9,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/015b98b9-b47a-4cf2-80ec-cd6f7954cbc9,fishways,NA,NA,1988,NA,NA,Alberta,Denil,Spotted Lake Fishway,NA,AB-08020102,05CD,-113.0846783,52.47400145
4,NA,0,0,NA,Wood Buffalo,NA,2,ab,2,"The structure was installed to maintain lake levels when an old, severed piece of outlet channel was reconnected to the lake.",NA,NA,NA,0,NA,0,0,2,NA,0,0,NA,0,NA,0,0,2,0,NA,NA,to pass upstream into Gregoire Lake,Gregoire (Willow) Lake,NA,NA,415e6ec5-ea81-4e7f-a6a0-8500317ca524,NA,"{""Walleye (Sander vitreus)"",""Northern pike (Esox lucius)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/415e6ec5-ea81-4e7f-a6a0-8500317ca524,fishways,NA,NA,2011,Surface,Bank,Alberta,Nature-like fishway,Gregoire (Willow) Lake Fishway,NA,AB-17060107,07CE,-111.0875207,56.43928074
0,NA,0,0,NA,Milton,NA,0,on,2,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,ca283730-6d60-49be-8910-0852360a4f71,NA,"{""Rainbow/steelhead trout (Oncorhynchus mykiss)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ca283730-6d60-49be-8910-0852360a4f71,fishways,NA,NA,2001,NA,NA,Ontario,Nature-like fishway,Milton Fishway,NA,ON-02HB-02,02HB,-79.91220339,43.49533353
0,NA,0,0,NA,"Division No.  5, Subd. E",NA,0,nl,3,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,03b3cc22-87cf-42fe-a01d-c05f861dc155,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/03b3cc22-87cf-42fe-a01d-c05f861dc155,fishways,NA,NA,0,NA,NA,Newfoundland and Labrador,Pool and weir,Adies Stream fishway,NA,NA,02YL,-57.1011403,49.5094796
0,NA,0,0,NA,"Kings, Subd. A",NA,0,ns,3,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,78f0e6d7-af37-4c2a-97b2-adbe2f26e796,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/78f0e6d7-af37-4c2a-97b2-adbe2f26e796,fishways,NA,NA,0,NA,NA,Nova Scotia,Pool and weir,NA,NA,NA,01DC,-64.79999845,44.9638983
0,NA,0,0,NA,"Annapolis, Subd. C",Evaluation of fish Passage,0,ns,3,NA,NA,NA,NA,0,NA,0,0,0,Requires Repair & Requires Maintenance,0,0,NA,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,29e5affb-38c8-4969-9034-3c0b48eeeb61,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/29e5affb-38c8-4969-9034-3c0b48eeeb61,fishways,NA,NA,0,NA,NA,Nova Scotia,Pool and weir,NA,NA,NA,01DC,-64.99304852,44.9852393
0,"Repair storm damage, make modifications",1997,1,NA,Hamilton,NA,1,on,7,NA,Royal Botanical Gardens,NA,NA,0,NA,0,0,0,The fishway is the only fishway in the world equipped to move fish in either direction. Fishway baskets are designed with water holding tanks at the bottom to allow fish to remain in water during transportation.,0,0,NA,0,NA,0,0,0,0,MarNov,NA,Prevent upstream migration of Carp,NA,NA,NA,f82ce076-0afd-4116-8967-cd35e6ca67e0,NA,"{""Golden redhorse (Moxostoma erythrurum)"",""Common carp (Cyprinus carpio)"",""Black crappie (Pomoxis nigromaculatus)"",""Bowfin (Amia calva)"",""Largemouth bass (Micropterus salmoides)"",""Shorthead redhorse (Moxostoma macrolepidotum)"",""Silver redhorse (Moxostoma",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f82ce076-0afd-4116-8967-cd35e6ca67e0,fishways,NA,NA,1996,NA,Midstream,Ontario,Other,Cootes Paradise Fishway,NA,ON-02HB-01,02HB,-79.89308947,43.27965293
0,NA,0,0,NA,"Annapolis, Subd. A",Evaluation of fish Passage,0,ns,3,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0fb988f7-010f-4a75-ba1d-0c889335ebe5,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0fb988f7-010f-4a75-ba1d-0c889335ebe5,fishways,NA,NA,0,NA,NA,Nova Scotia,Pool and weir,Longmire Dam,NA,NA,01DC,-65.56570746,44.80079832
9.1,NA,0,0,NA,Mount Waddington A,NA,2,bc,6,"South of Kingcome, B.C.",Fisheries and Oceans Canada,NA,Fisheries and Oceans Canada,22,Fisheries and Oceans Canada,2.3,1,2.1,"Pool volume 13.11 cubic meters

Slot width 0.305

Pool Length 3.15m, 7 pools

Pool width 1.81m",0,0,NA,0,NA,0,0,2,0,NA,Fisheries and Oceans Canada,to pass fish upstream of the rapids,Kakweiken River,NA,NA,f509baf0-bffb-4d6a-b2ee-f5a0c3f8206a,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f509baf0-bffb-4d6a-b2ee-f5a0c3f8206a,fishways,NA,NA,1980,Surface,Bank,British Columbia,Vertical slot,Kakweiken River fishway B,NA,BC_89,08GF,-125.9911263,50.82750539
0,NA,0,0,NA,Annapolis Royal,NA,0,ns,9,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,09f4bce4-22b5-4c74-a047-6bc5714ff85a,c88c2f92-a622-42eb-9547-027d998c6a45,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/09f4bce4-22b5-4c74-a047-6bc5714ff85a,fishways,NA,NA,0,NA,NA,Nova Scotia,Unknown,Annapolis C'way,NA,NA,01DC,-65.51264225,44.75304717
0,NA,0,0,NA,Wilmot,NA,2,on,6,NA,MNR,NA,NA,0,NA,0,0,2.9,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0d8cf703-d17b-4142-8cf9-d9aa7c8cbe48,8a8a0ead-97e3-4cb9-9732-f4e8bfdabc75,"{""Common carp (Cyprinus carpio)"",""White sucker (Catostomus commersonii)"",""Smallmouth bass (Micropterus dolomieu)"",""Walleye (Sander vitreus)"",""Rainbow/steelhead trout (Oncorhynchus mykiss)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0d8cf703-d17b-4142-8cf9-d9aa7c8cbe48,fishways,NA,NA,0,NA,Bank,Ontario,Vertical slot,New Hamburg Fishway,NA,ON-02GA-12,02GA,-80.71133141,43.37658903
15.6,NA,0,0,NA,North Shore,NA,0,pe,3,NA,NA,NA,NA,21.8,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,Winter River,NA,NA,d4b585e9-f090-4457-be8f-feb3b9f49cd7,e1e9afe8-4445-45c7-a71a-142f4abd65fe,"{""Alewife (Alosa pseudoharengus)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d4b585e9-f090-4457-be8f-feb3b9f49cd7,fishways,Officer's Pond (Winter River),NA,0,NA,NA,Prince Edward Island,Pool and weir,NA,NA,NA,01CC,-63.06613929,46.33138419
0,NA,0,0,Fish counts,Strathcona D (Oyster Bay - Buttle Lake),fish counts,1,bc,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute),NA,NA,Van Tine and Associates,0,Haig-Brown Institute,0,1,0,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0,0,NA,1,NA,0,0,4,0,NA,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River,NA,NA,051621b7-116d-492c-87bb-afbcc977fb8b,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/051621b7-116d-492c-87bb-afbcc977fb8b,fishways,NA,NA,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 1,NA,BC_20,08HD,-125.321277,49.97667211
0,NA,0,0,Fish counts,Campbell River,fish counts,1,bc,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute),NA,NA,Van Tine and Associates,0,Haig-Brown Institute,0,1,0,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0,0,NA,1,NA,0,0,4,0,NA,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River,NA,NA,d68a695c-33f7-4d9c-9fc6-252d4fa7d4a0,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d68a695c-33f7-4d9c-9fc6-252d4fa7d4a0,fishways,NA,NA,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 3,NA,BC_20,08HD,-125.3082298,49.98660267
0,NA,0,0,Fish counts,Campbell River,fish counts,1,bc,2,Collobarative effort to construct fishways between DFO and HBI (Haig Brown Institute),NA,NA,Van Tine and Associates,0,Haig-Brown Institute,0,1,0,"Bedrock was chipped away in order to create fish stairs

'Cascade fishway'",0,0,NA,1,NA,0,0,4,0,NA,Van Tine and Asscociates,To allow for upstream passage of Pink salmon,Quinsam River,NA,NA,f68192aa-f921-4fd0-bdec-1a41aaa38097,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f68192aa-f921-4fd0-bdec-1a41aaa38097,fishways,NA,NA,2005,Mid-column,Midstream,British Columbia,Nature-like fishway,Quinsam River falls fishway 4,NA,BC_20,08HD,-125.3052298,49.98662767
0,NA,0,0,NA,View Royal,NA,2,bc,4,NA,City of Langford,NA,NA,0,City of Langford,0,0,0,NA,0,0,NA,0,NA,0,0,2,0,NA,NA,restore a natural run of coho to the reach,Millstream Creek,NA,NA,1d5063ff-32a9-4edb-b431-316e9080bddd,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1d5063ff-32a9-4edb-b431-316e9080bddd,fishways,NA,NA,2002,Surface,Bank,British Columbia,Pool and weir with hole,Millstream Creek Fishway 3,NA,BC_243,08HA,-123.465468,48.45225837
0,NA,0,0,NA,View Royal,NA,2,bc,4,NA,City of Langford,NA,NA,0,City of Langford,0,0,0,NA,0,0,NA,0,NA,0,0,2,0,NA,NA,restore a natural run of coho to the reac,Millstream Creek,NA,NA,5c75baae-90a6-4bd4-a0dd-80255942f950,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5c75baae-90a6-4bd4-a0dd-80255942f950,fishways,NA,NA,2002,Surface,Bank,British Columbia,Pool and weir with hole,Millstream Creek fishway 4,NA,NA,08HA,-123.4634319,48.45627504
0,NA,0,0,NA,North Vancouver,NA,0,bc,3,Fish get passed into the hatchery not upstream of the dam,Fisheries and Ocean Canada,NA,Fisheries and Ocean Canada,250,Fisheries and Ocean Canada,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,decdec,Fisheries and Ocean Canada,to pass fish into the hatchery,Capilano River,NA,NA,43a32a9e-a683-4904-9cea-cd17fae186d9,NA,NA,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/43a32a9e-a683-4904-9cea-cd17fae186d9,fishways,NA,NA,1971,NA,NA,British Columbia,Pool and weir,Capilano Fish Hatchery fishway,NA,BC_190,08GAA,-123.1153484,49.3566029
