Facility_I,Owner_Name,System_Nam,City,Province__,Postal_Cod,Owner_Type,Operator_T,Average_Da,Method_of_,Descriptio,Chlorine_U,System_Typ,Treatment_,Other_Trea,Discharge_,Is_the_hyd,Reporting_,Averaging_,Latitude,Longitude,Verificati,Type_of_Po,Name_of_bo,Name_of_th,Descript_1,Descript_2,System_sta,PRV_WSHD_I,NHN_TWS_ID,Averaging_Period,Year_Most_Recent,Average_Daily_Effluent_Volume_m3,Total_volume_of_effluent_deposited_in_cubic_metres_m3_for_averaging_period_,Average_CBOD_mgL_for_averaging_period,CBOD_Compliance,Average_suspended_solids_mgL_for_averaging_period,Suspended_Solids_Compliance
9376,Alberta Capital Region Wastewater Commision,Alberta Capital Region Wastewater Commission Treatment Plant,Fort Saskatchewan,Alberta,T8L4A2,Municipal or another local authority,Municipal or another local authority,76160,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal (Nitrogen and Pho",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Monthly,53.6331,-113.308,Verified,Final Discharge Point,North Saskatchewan River,NA,Drinking water source,Watercourse with bulk flow ratio > 100,operational,AB-11030101,05EB,Monthly,2021,77786.2,2130639.25,3.75,-21.25,6.666666667,-18.33333333
24093,Alberta Environment and Sustainable Resource Development,Red Deer County - Benalto Lagoon,Red Deer,Alberta,T4S 2L9,Provincial,Other,95,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.2984,-114.2761,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-08010302,05CC,Annually,2018,0,0,0,-25,0,-25
27288,Alberta Environment and Sustainable Resource Development,Red Deer County - Dickson Dam Reservoir,Near Innisfail (20 km west),Alberta,T4G 2L9,Provincial,Other,7.2,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,52.0334,-113.9346,Estimated,Final Discharge Point,NA,NA,NA,NA,operational,AB-08010301,05CC,NA,NA,NA,NA,NA,NA,NA,NA
24091,Alberta Environment and Sustainable Resource Development,Red Deer County - Lousana Lagoon,Red Deer,Alberta,T4S 2L9,Provincial,Other,30,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Aerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.1066,-113.194,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-08020101,05CD,Annually,2017,25.5,7109.9,2,-23,8.5,-16.5
24092,Alberta Environment and Sustainable Resource Development,Red Deer County - Spruceview Lagoon,Red Deer,Alberta,T4S 2L9,Provincial,Other,125,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Aerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.0703,-114.3005,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-08010302,05CC,Annually,2019,52.8,11239,2,-23,6.4,-18.6
58965,Alberta Health Services,Centennial Centre for Mental Health and Brain Injury,Ponoka,Alberta,T5J 1R8,Other,Provincial,290,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoons - Aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,NA,Annually,Annually,52.6625,-113.5824,Verified,Final Discharge Point,Battle River,Battle River,Other,Other,operational,AB-09010101,05FA,Annually,2021,270.5,82000,6,-19,10,-15
24531,Alberta Infrastructure (GOA),Evan-Thomas Valley Wastewater Treatment Plant,Kananaskis,Alberta,T0L 2H0,Provincial,Other,134.7,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Primary Sedimentation/Clarification, Skimming, Other Treatment, Disinfection",Membrane Bioreactor (MBR),Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,50.9137,-115.1418,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020601,05BF,Quarterly,2021,303.8,29653.25,2.1,-22.9,2.5,-22.5
26886,Alexander pw,Alexander lagoon AB,Morinville,Alberta,T8R 1S2,NA,NA,220,Other method of calculation based on measurements,"Based on discharge and storage volumes as of 2005, including estimate of increase based on population growth of community",No,Intermittent,Lagoon - Aerobic,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,53.8108,-113.9235,Estimated,Final Discharge Point,Sturgeon River,Riviere Qui Barre River,Other,Watercourse with bulk flow ratio < 10,operational,AB-11020301,05EA,Annually,2019,51.8,250,0,-25,0,-25
26885,Alexis Nakota-Sioux Nation Public Works,Alexis Lagoon,Glenevis,Alberta,T0E 0X0,NA,NA,200,Determined on the basis of the system's average design rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,53.7441,-114.4707,Verified,Final Discharge Point,Lac St Anne,Lac St Anne,Other,Natural lake,operational,AB-11020301,05EA,Annually,2016,0,0,0,-25,0,-25
24332,Aquatera Utilities INC,Aquatera Airport Wastewater Lagoon,Grande Praire,Alberta,T8V 7Z9,Other,Other,300,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.1719,-118.8845,Verified,Final Discharge Point,Bear Creek then ultimately the Wapiti River,Drainage ditch into a slough,Contact recreational (e.g. swimming),Watercourse with bulk flow ratio > 100,operational,AB-18020503,07GE,Annually,2021,0,0,0,-25,0,-25
23700,Aquatera Utilities INC,Aquatera Clairmont WasteWater Lagoon,Hamlet of Clairmont,Alberta,T0H0W0,Other,Other,1289,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoons - Aerated, Lagoon - Anaerobic, Lagoon - Facultative",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.2667,-118.8429,Verified,Final Discharge Point,Bear Creek (downstream of the Bear Creek Reservoir) and then ultimately the Wapiti River,Ferguson Creek,Other,Watercourse with bulk flow ratio < 10,operational,AB-18020503,07GE,Annually,2021,0,0,0,-25,0,-25
23690,Aquatera Utilities INC,Aquatera Grande Prairie Wastewater Facility,Grande Prairie,Alberta,T8W 2R6,Other,Other,21056,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Rotating Biological Contactor, Biological Nutrient Removal (Nitrogen and Phosphorus), Polishing Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Monthly,55.1279,-118.7967,Verified,Final Discharge Point,Wapiti River,Wapiti River,Drinking water source,Watercourse with bulk flow ratio > 100,operational,AB-18020503,07GE,Monthly,2021,21896.6,597937.5,2.783333333,-22.21666667,7.533333333,-17.46666667
23701,Aquatera Utilities INC,Aquatera Sexsmith WasteWater Lagoon,Town of Sexsmith,Alberta,T0H3C0,Other,Other,400,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.3254,-118.7493,Verified,Final Discharge Point,Smoky River,Drainage ditch then travels to unnamed creek,Other,Watercourse with bulk flow ratio > 100,operational,AB-18020902,07GJ,Annually,2021,611.5,181862.7,2,-23,4.6,-20.4
23435,Big Lakes County,Enilda Waste Water Lagoon,High Prairie,Alberta,T0G 1E0,Municipal or another local authority,Municipal or another local authority,74,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,55.393,-116.305,Verified,Final Discharge Point,mud creek,unnamed creek,Agriculture (e.g irrigation),Watercourse with bulk flow ratio < 10,operational,AB-17040101,07BF,NA,NA,NA,NA,NA,NA,NA,NA
23440,Big Lakes County,Faust Waste Water Lagoon,High Prairie,Alberta,T0G1E0,Municipal or another local authority,Municipal or another local authority,2500,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.319,-115.617,Verified,Final Discharge Point,lesser slave lake,lesser slave lake,Other,Natural lake,operational,AB-17040201,07B0,Annually,2019,218.2,97599,4.4,-20.6,10,-15
23439,Big Lakes County,Grouard Waste Water Lagoon,High Prairie,Alberta,T0G1E0,Municipal or another local authority,Municipal or another local authority,2790,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Oxidation Ditch, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,55.517,-116.153,Verified,Final Discharge Point,lesser slave lake,lesser slave lake,Other,Natural lake,operational,AB-17040101,07BF,Annually,2019,95.2,26344,25.3,0.3,36.5,11.5
23441,Big Lakes County,Joussard Waste Water Lagoon,joussard,Alberta,T0G1J0,Municipal or another local authority,Municipal or another local authority,190,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Annually,Annually,55.385,-116,Estimated,Final Discharge Point,Lesser Slave Lake,discharge ditch,Other,Natural lake,operational,AB-17040201,07BH,Annually,2019,0,129319,4.8,-20.2,4.7,-20.3
23442,Big Lakes County,Joussard Waste Water Lagoon (old),Hig Prairie,Alberta,T0G1E0,Municipal or another local authority,Municipal or another local authority,2252,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,55.397,-115.976,Verified,Final Discharge Point,Mission Creek,Mission Creek,Other,Watercourse with bulk flow ratio < 10,operational,AB-17040201,07BH,Annually,2020,0,0,0,-25,0,-25
29464,BIRCH Mountain Enterprises Ltd.,BIRCH MOUNTAIN WASTEWATER TREATMENT PLANT,FORT MCMURRAY,Alberta,T9H 3G4,NA,NA,1500,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Other Treatment, Disinfection",Membrane Bioreactor,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,56.742,-111.4127,Estimated,Final Discharge Point,MUSKEG RIVER,MUSKEG RIVER,Other recreational (e.g. boating),Watercourse with bulk flow ratio > 100,operational,AB-17050401,07DA,Quarterly,2019,92.6,11766.73333,1.933333333,-23.06666667,2.066666667,-22.93333333
26971,Blood Tribe Public Works,Standoff Lagoon,Standoff,Alberta,T0L1Y0,NA,NA,4664,Estimate based on the measured rate of effluent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,49.4655,-113.2877,Verified,Final Discharge Point,Belly River,Belly River,Other,Watercourse with bulk flow ratio >=10 and <=100,operational,AB-04010302,05AD,Annually,2014,0,0,0,NA,0,NA
25140,Brazeau County,Rocky Rapids Lagoon,Rocky Rapids,Alberta,T7A 1G8,Municipal or another local authority,Municipal or another local authority,91,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,53.2739,-114.9357,Verified,Final Discharge Point,NA,un named drainage course,Other,Other,operational,AB-11020101,05DE,Annually,2021,152.3,35000,14,-11,0,-25
25143,Camrose County,Ferintosh Wastewater System Using a Wastewater Lagoon,Ferintosh,Alberta,T0B 1M0,Municipal or another local authority,Municipal or another local authority,0,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,NA,Annually,Annually,52.7525,-112.9707,Verified,Final Discharge Point,meeting creek swamp,meeting creek swamp,Agriculture (e.g irrigation),Watercourse with bulk flow ratio < 10,operational,AB-09020102,05FC,Annually,2021,93,0,0,-25,0,-25
23523,CH2M Hill Canada Limited,Borealis Polishing Wastewater Treatment Plant,Fort McMurray,Alberta,T9K 0T4,Other,Other,560,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Extended Aeration Activated Sludge, Sequencing Batch Reactor, Biological Ammonia Removal – Nitrification Only , Biological Phosphorus Removal, Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,56.7647,-111.4146,Estimated,Final Discharge Point,Athabasca River,Athabasca River,Other,Watercourse with bulk flow ratio > 100,operational,AB-17070101,07DA,Quarterly,2021,678.5,63592.25,2.475,-22.525,2.675,-22.325
23894,CH2M Hill Canada Limited,Steepbank Wastewater Treatment Plant,Fort McMurray,Alberta,T9K 0T4,Other,Other,30,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Primary Sedimentation/Clarification, Other Treatment",System does not discharge into a fish bearing waterbody,Effluent is deposited to water frequented by fish via the final discharge point,No,Non-applicable,Non-applicable,56.9731,-111.4328,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-17070101,07DA,NA,NA,NA,NA,NA,NA,NA,NA
24039,City of Brooks,City of Brooks,Brooks,Alberta,T1R0Z6,Municipal or another local authority,Municipal or another local authority,2648.8,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,50.5537,-111.8043,Verified,Final Discharge Point,NA,NA,Agriculture (e.g irrigation),Other,operational,AB-04021302,05CJ,Annually,2021,2882.5,840487,7.2,-17.8,41,-26
