NHN_TWS,Scientific_name,Common_name,Species_origin
01AP,Acipenser brevirostrum,Shortnose Sturgeon,native
01BM,Acipenser brevirostrum,Shortnose Sturgeon,native
01DJ,Acipenser brevirostrum,Shortnose Sturgeon,native
05AB,Carassius gibelio,Prussian Carp,foreign
05AC,Carassius gibelio,Prussian Carp,foreign
05AG,Carassius gibelio,Prussian Carp,foreign
05AH,Carassius gibelio,Prussian Carp,foreign
05BH,Carassius gibelio,Prussian Carp,foreign
05BK,Carassius gibelio,Prussian Carp,foreign
05BM,Carassius gibelio,Prussian Carp,foreign
05BN,Carassius gibelio,Prussian Carp,foreign
05CB,Carassius gibelio,Prussian Carp,foreign
05CC,Carassius gibelio,Prussian Carp,foreign
05CD,Carassius gibelio,Prussian Carp,foreign
05CE,Carassius gibelio,Prussian Carp,foreign
05CG,Carassius gibelio,Prussian Carp,foreign
05CH,Carassius gibelio,Prussian Carp,foreign
05CJ,Carassius gibelio,Prussian Carp,foreign
05CK,Carassius gibelio,Prussian Carp,foreign
05EB,Carassius gibelio,Prussian Carp,foreign
05FA,Carassius gibelio,Prussian Carp,foreign
08MG,Catostomus sp.,Salish Sucker,native
08MH,Catostomus sp.,Salish Sucker,native
08MH,Channa maculata,Blotched Snakehead,foreign
04DA,Coregonus alpenae,Longjaw Cisco,extinct
05PD,Coregonus alpenae,Longjaw Cisco,extinct
05PF,Coregonus alpenae,Longjaw Cisco,extinct
05QB,Coregonus alpenae,Longjaw Cisco,extinct
05AE,Cottus bondi,Rocky Mountain Sculpin,native
08NP,Cottus bondi,Rocky Mountain Sculpin,native
11AA,Cottus bondi,Rocky Mountain Sculpin,native
08DB,Cottus sp.,Cultus Lake Sculpin,native
08GB,Cottus sp.,Cultus Lake Sculpin,native
08HB,Cottus sp.,Cultus Lake Sculpin,native
08HC,Cottus sp.,Cultus Lake Sculpin,native
08HD,Cottus sp.,Cultus Lake Sculpin,native
08HE,Cottus sp.,Cultus Lake Sculpin,native
08HF,Cottus sp.,Cultus Lake Sculpin,native
08MG,Cottus sp.,Cultus Lake Sculpin,native
08MH,Cottus sp.,Cultus Lake Sculpin,native
08OA,Cottus sp.,Cultus Lake Sculpin,native
