id,PRV_WSHD_I,NHN_TWS_ID
0126,AB-17050403,NA
0126,AB-17060101,NA
0126,NA,07CC
0126,NA,07CE
0242,AB-11010101,NA
0242,AB-11010103,NA
0242,AB-11010201,NA
0242,AB-11010202,NA
0242,AB-11010203,NA
0242,AB-11020101,NA
0242,AB-11020102,NA
0242,AB-11020103,NA
0242,AB-11020201,NA
0242,AB-11020202,NA
0242,AB-11030101,NA
0242,BC_103,NA
0242,BC_113,NA
0242,BC_172,NA
0242,BC_183,NA
0242,BC_191,NA
0242,BC_30,NA
0242,BC_55,NA
0242,BC_62,NA
0242,BC_63,NA
0242,NA,05DA
0242,NA,05DC
0242,NA,05DE
0242,NA,05DF
0242,NA,05EB
0242,NA,08LE
0242,NA,08LG
0242,NA,08MF
0242,NA,08MG
0242,NA,08MH
0242,NA,08NB
0242,NA,08ND
0387,BC_243,NA
0387,NA,08HA
0547,NA,0210
0547,NA,02UB
0547,NA,02UC
0547,NA,02VA
0547,NA,02VB
0547,NA,02VC
0547,NA,02WA
0547,NA,NA
0593,BC_105,NA
0593,BC_116,NA
0593,BC_124,NA
0593,BC_132,NA
0593,BC_162,NA
0593,BC_18,NA
0593,BC_200,NA
0593,BC_224,NA
0593,BC_234,NA
0593,BC_245,NA
0593,BC_49,NA
0593,BC_6,NA
0593,BC_83,NA
0593,BC_88,NA
0593,NA,07EB
0593,NA,07EC
0593,NA,07FA
0593,NA,08DB
0593,NA,08EB
0593,NA,08EC
0593,NA,08EE
0593,NA,08EG
0593,NA,08FG
0593,NA,08JD
0600,BC_126,NA
0600,BC_135,NA
0600,BC_140,NA
0600,BC_144,NA
0600,BC_152,NA
0600,BC_164,NA
0600,BC_166,NA
0600,BC_168,NA
0600,BC_18,NA
0600,BC_242,NA
0600,BC_246,NA
0600,BC_5,NA
0600,BC_85,NA
0600,NA,07ED
0600,NA,07EE
0600,NA,07FB
0600,NA,08EC
0600,NA,08ED
0600,NA,08EE
0600,NA,08EF
0600,NA,08FF
0600,NA,08JD
0600,NA,08JE
0650,BC_116,NA
0650,BC_124,NA
0650,BC_152,NA
0650,BC_164,NA
0650,BC_167,NA
0650,BC_18,NA
0650,BC_200,NA
0650,BC_235,NA
0650,BC_245,NA
0650,BC_246,NA
0650,BC_49,NA
0650,BC_5,NA
0650,BC_83,NA
0650,BC_88,NA
0650,NA,07EB
0650,NA,07EC
0650,NA,07ED
0650,NA,07EE
0650,NA,07EF
0650,NA,07FA
0650,NA,08DB
0650,NA,08EB
0650,NA,08EC
0650,NA,08EE
0650,NA,08EF
0650,NA,08EG
0650,NA,08FG
0650,NA,08JD
0651,BC_103,NA
0651,BC_190,NA
0651,NA,08GA
0651,NA,08MH
0956,AB-04010101,NA
0956,AB-04010102,NA
0956,AB-04010103,NA
0956,NA,05AA
0972,AB-11020104,NA
0972,AB-11020201,NA
0972,AB-11020301,NA
0972,AB-11020302,NA
0972,AB-11030101,NA
0972,AB-17010301,NA
0972,AB-17010302,NA
0972,AB-17010401,NA
0972,AB-17020101,NA
0972,AB-17020201,NA
0972,AB-17020203,NA
0972,AB-17030201,NA
0972,AB-17030202,NA
0972,AB-18020101,NA
0972,AB-18020103,NA
0972,AB-18020104,NA
0972,AB-18020105,NA
0972,BC_124,NA
0972,BC_129,NA
0972,BC_139,NA
0972,BC_140,NA
0972,BC_15,NA
0972,BC_156,NA
0972,BC_188,NA
0972,BC_197,NA
0972,BC_244,NA
0972,BC_245,NA
0972,BC_246,NA
0972,BC_54,NA
0972,BC_85,NA
0972,BC_99,NA
0972,NA,05DE
0972,NA,05DF
0972,NA,05EA
0972,NA,05EB
0972,NA,07AC
0972,NA,07AD
0972,NA,07AF
0972,NA,07AG
0972,NA,07BB
0972,NA,07GA
0972,NA,08DB
0972,NA,08ED
0972,NA,08EF
0972,NA,08EG
0972,NA,08FF
0972,NA,08FG
0972,NA,08JB
0972,NA,08JC
0972,NA,08KA
0972,NA,08KB
0972,NA,08KD
0972,NA,08KE
0996,AB-07010109,NA
0996,AB-09030101,NA
0996,AB-09030201,NA
0996,AB-09030202,NA
0996,NA,05FD
0996,NA,05FE
0996,NA,05GA
1010,NA,02YJ
1010,NA,02YK
1010,NA,02YN
1010,NA,02YO
1010,NA,02YQ
1010,NA,02YR
1010,NA,02YS
1010,NA,02ZA
1010,NA,02ZJ
1010,NA,02ZL
1010,NA,NA
1015,NA,02XD
1015,NA,02YA
1015,NA,02YB
1015,NA,02YD
1015,NA,02YM
1015,NA,02YO
1015,NA,02YP
1015,NA,02YQ
1015,NA,02YR
1015,NA,02YS
1015,NA,02ZH
1015,NA,02ZJ
1015,NA,03PD
1015,NA,03PE
1015,NA,03QA
1015,NA,03QB
1015,NA,NA
1023,NA,05UH
1023,NA,06FE
1023,NA,06MA
1023,NA,06MC
1023,NA,06NC
1023,NA,06PA
1023,NA,NA
2064,NA,05OC
2064,NA,05OE
2064,NA,05OH
2064,NA,05OJ
2064,NA,NA
2065,NA,05MJ
2065,NA,05OD
2065,NA,05OE
2065,NA,05OH
2065,NA,05OJ
2065,NA,NA
3202,BC_2,NA
3202,NA,08HB
3206,NA,02OE
3206,NA,02PJ
3206,NA,NA
3208,NA,02OH
3208,NA,02OJ
3208,NA,NA
3509,ON-04FAA05,NA
3509,ON-04FAA08,NA
3509,ON-04FAA14,NA
3509,ON-04FAA18,NA
3509,ON-04GAA03,NA
3509,ON-04GAA04,NA
3509,ON-04GAA15,NA
3509,ON-04GAA19,NA
3509,ON-05QA-01,NA
3509,ON-05QA-19,NA
3509,ON-05QB-03,NA
3509,ON-05QB-04,NA
3509,ON-05QB-05,NA
3509,ON-05QB-06,NA
3509,ON-05QB-07,NA
3509,ON-05QB-17,NA
3509,ON-05QD-06,NA
3509,ON-05QD-07,NA
3509,NA,04FA
3509,NA,04GA
3509,NA,05QA
3509,NA,05QB
3509,NA,05QD
3641,NA,05OC
3641,NA,05OE
3641,NA,05OG
3641,NA,05OH
3641,NA,05OJ
3641,NA,NA
3644,NA,04AA
3644,NA,04AF
3644,NA,0501
3644,NA,05OJ
3644,NA,05RE
3644,NA,05RF
3644,NA,05SB
3644,NA,05SC
3644,NA,05UA
3644,NA,05UB
3644,NA,05UD
3644,NA,05UE
3644,NA,NA
4001,ON-02LA-01,NA
4001,ON-02LB-03,NA
4001,NA,02LA
4001,NA,02LB
4004,NA,0207
4004,NA,NA
4035,AB-11010201,NA
4035,AB-11010203,NA
4035,AB-11010301,NA
4035,AB-11010302,NA
4035,AB-11010401,NA
4035,AB-11010404,NA
4035,AB-11010406,NA
4035,NA,05DB
4035,NA,05DC
4035,NA,05DD
4041,ON-04MA-04,NA
4041,ON-04MA-07,NA
4041,ON-04MA-08,NA
4041,ON-04MA-11,NA
4041,ON-04MB-01,NA
4041,ON-04MB-02,NA
4041,ON-04MB-06,NA
4041,ON-04NA-05,NA
4041,ON-04NA-16,NA
4041,ON-04NA-17,NA
4041,NA,02JB
4041,NA,02NA
4041,NA,02NC
4041,NA,02NE
4041,NA,02RF
4041,NA,02RG
4041,NA,02RH
4041,NA,03AC
4041,NA,04MA
4041,NA,04MB
4041,NA,04NA
4073,NA,01CA
4073,NA,01CB
4073,NA,NA
4105,BC_103,NA
4105,NA,08MH
4129,AB-11020201,NA
4129,AB-11020301,NA
4129,AB-11030101,NA
4129,AB-17010501,NA
4129,AB-17010601,NA
4129,AB-17010602,NA
4129,AB-17030201,NA
4129,AB-17030203,NA
4129,AB-18020201,NA
4129,AB-18020501,NA
4129,AB-18020503,NA
4129,AB-18020601,NA
4129,AB-18020701,NA
4129,AB-18020702,NA
4129,AB-18020802,NA
4129,NA,05DF
4129,NA,05EA
4129,NA,05EB
4129,NA,07AE
4129,NA,07AH
4129,NA,07BB
4129,NA,07GB
4129,NA,07GE
4129,NA,07GF
4129,NA,07GG
4129,NA,07GH
4130,AB-11020201,NA
4130,AB-11020301,NA
4130,AB-11020302,NA
4130,AB-11030101,NA
4130,AB-17010501,NA
4130,AB-17020201,NA
4130,AB-17030201,NA
4130,AB-17030203,NA
4130,AB-18010202,NA
4130,AB-18010207,NA
4130,AB-18010211,NA
4130,AB-18020501,NA
4130,AB-18020503,NA
4130,AB-18020601,NA
4130,AB-18020701,NA
4130,AB-18020702,NA
4130,AB-18020703,NA
4130,AB-18020901,NA
4130,AB-18020902,NA
4130,NA,05DF
4130,NA,05EA
4130,NA,07AE
4130,NA,07AG
4130,NA,07BB
4130,NA,07FD
4130,NA,07GE
4130,NA,07GF
4130,NA,07GG
4130,NA,07GJ
4172,AB-04010101,NA
4172,AB-04010102,NA
4172,AB-04010201,NA
4172,AB-04021201,NA
4172,NA,05AA
4172,NA,05AB
4172,NA,05BL
4172.1,AB-04010102,NA
4172.1,NA,05AA
4181,AB-11010201,NA
4181,AB-11010202,NA
4181,AB-11010203,NA
4181,AB-11010301,NA
4181,AB-11010302,NA
4181,AB-11010401,NA
4181,AB-11010403,NA
4181,AB-11010404,NA
4181,AB-11010406,NA
4181,AB-17030101,NA
4181,NA,05DB
4181,NA,05DC
4181,NA,05DD
4181,NA,07BA
4194,AB-18010202,NA
4194,NA,07FD
4214,ON-02HB-01,NA
4214,ON-02HB-02,NA
4214,ON-02HB-03,NA
4214,ON-02HB-04,NA
4214,ON-02HC-01,NA
4214,ON-02HC-02,NA
4214,ON-02HC-06,NA
4214,NA,02HB
4214,NA,02HC
4215,ON-02GE-01,NA
4215,ON-02GE-08,NA
4215,ON-02GGB01,NA
4215,ON-02GGB11,NA
4215,NA,02GE
4215,NA,02GG
4231,BC_117,NA
4231,BC_168,NA
4231,NA,07FB
4231,NA,07FD
5064,NA,05MJ
5064,NA,05OC
5064,NA,05OG
5064,NA,05OJ
5064,NA,NA
6013,NA,0209
6013,NA,NA
6021,BC_19,NA
6021,BC_46,NA
6021,BC_90,NA
6021,NA,08NG
6021,NA,08NH
6021,NA,08NK
6021,NA,08NP
6063,AB-18010201,NA
6063,AB-18010202,NA
6063,BC_105,NA
6063,BC_117,NA
6063,BC_235,NA
6063,BC_82,NA
6063,BC_98,NA
6063,NA,07FA
6063,NA,07FC
6063,NA,07FD
6066,AB-04010101,NA
6066,AB-04020401,NA
6066,AB-04020701,NA
6066,AB-04020802,NA
6066,AB-04021001,NA
6066,AB-04021201,NA
6066,AB-04021202,NA
6066,AB-08010101,NA
6066,AB-08010103,NA
6066,AB-08010104,NA
6066,AB-08010202,NA
6066,AB-08010203,NA
6066,BC_46,NA
6066,NA,05AA
6066,NA,05BE
6066,NA,05BG
6066,NA,05BH
6066,NA,05BJ
6066,NA,05BL
6066,NA,05CA
6066,NA,05CB
6066,NA,08NK
