,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
1,Nugget Pond,Nugget Pond,Rambler Metals and Mining PLC,Rambler Metals and Mining PLC,(C.),(Con.),Concentrator,Concentrateur,Cu,Cu,Copper,Cuivre,Base metals,Métaux communs,Snook’s Arm,Snook’s Arm,Newfoundland and Labrador,Terre-Neuve et Labrador,49.845,-55.7753,NA,02YM,-55.7753,49.845
2,Ming,Ming,Rambler Metals and Mining Canada Limited,Rambler Metals and Mining Canada Limited,(U.),(Sout.),Underground,Souterraine,"Cu, Au, Ag","Cu, Au, Ag","Copper, gold, silver","Cuivre, or, argent",Base metals,Métaux communs,Baie Verte,Baie Verte,Newfoundland and Labrador,Terre-Neuve et Labrador,49.915,-56.087,NA,02YM,-56.087,49.915
3,Voisey’s Bay,Voisey’s Bay,Vale Newfoundland and Labrador Limited,Vale Newfoundland and Labrador Limited,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Ni, Cu, Co","Ni, Cu, Co","Nickel, copper, cobalt","Nickel, cuivre, cobalt",Base metals,Métaux communs,Voisey’s Bay,Voisey’s Bay,Newfoundland and Labrador,Terre-Neuve et Labrador,56.331659,-62.090855,NA,03NE,-62.090855,56.331659
4,Caribou,Caribou,Trevali Mining Corporation,Trevali Mining Corporation,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Zn, Pb, Ag, Au","Zn, Pb, Ag, Au","Zinc, lead, silver, gold","Zinc, plomb, argent, gold",Base metals,Métaux communs,Bathurst,Bathurst,New Brunswick,Nouveau Brunswick,47.5655,-66.2917,NA,01BK,-66.2917,47.5655
5,Raglan,Raglan,Glencore Canada Corporation,Glencore Canada Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Ni, PGM, Cu, Co, Au, Ag","Ni, MGP, Cu, Co, Au, Ag","Nickel, platinum group metals, copper, cobalt, gold, silver","Nickel, métaux du groupe platine, cuivre, cobalt, or, argent",Base metals,Métaux communs,Katinniq,Katinniq,Quebec,Québec,61.687171,-73.674669,NA,03HC,-73.674669,61.687171
6,Nunavik,Nunavik,Canadian Royalties Inc.,Canadian Royalties Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Ni, Cu, PGM, Co","Ni, Cu, MGP, Co","Nickel, copper, platinum group metals, cobalt","Nickel, cuivre, métaux du groupe platine, cobalt",Base metals,Métaux communs,Kangiqsujuaq,Kangiqsujuaq,Quebec,Québec,61.420856,-74.1375,NA,03GD,-74.1375,61.420856
7,Nickel Rim South,Nickel Rim South,Glencore Canada Corporation,Glencore Canada Corporation,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, Co, PGM, Au","Ni, Cu, Co, MGP, Au","Nickel, copper, cobalt, platinum group metals, gold","Nickel, cuivre, métaux du groupe platine",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.657982,-80.796793,ON-02DA-01,02DA,-80.796793,46.657982
8,Garson,Garson,Vale Canada Limited,Vale Canada Limited,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.568,-80.857,ON-02CF-02,02CF,-80.857,46.568
9,Clarabelle,Clarabelle,Vale Canada Limited,Vale Canada Limited,(C.),(Con.),Concentrator,Concentrateur,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.495822,-81.056782,ON-02CF-02,02CF,-81.056782,46.495822
10,Copper Cliff Complex,Complexe Copper Cliff,Vale Canada Limited,Vale Canada Limited,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.491445,-81.068205,ON-02CF-02,02CF,-81.068205,46.491445
